"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyIPercent","uncertaintyOPixel","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyAreaPercent","uncertaintyPerimeterPixel","uncertaintyPerimeterPercent","uncertaintytotalPixel","uncertaintytotalPercent","middleX","middleY","middleIGRID","middleOGRID"
"1",346,346,139289,64,3,3,"63","19","68","25.75",36,9,-1,-1,1269,0,1271,344,344,"keine umfangreiche Information aller Betroffenen und Beteiligten (z. B. zur weiteren (Unternehmens- und Abteilungs-)Strategie bzgl. Fortbestand der Therapiestation und des Zyklotron, sowie den Funktionsräumen von Gebäude 161 (SPECT/PET); Schilddrüsenspezialambulanz)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",1,"classic","BB1",1269,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- keine umfassende, zeitgerechte Einbindung und Kommunikation und Information durch in der Projektorganisation und das KD <br>- keine ausreichenden Ressourcenverfügbarkeit für Projekttermine usw. <br>- Masterplan nicht kommuniziert","	- Projektänderungswünsche <br>- Projektverzögerungen <br>- Nutzerunzufriedenheit <br>- keine Identifikation mit dem Projekt <br>- Skepsis, Ängste bzw. keine Zustimmung der Beteiligten und Betroffenen",252,272,76,103,NA,4,4,4,5,FALSE,FALSE,NA,20,5,27,6.75,540,0.3375,94,5.875,47,5.875,262,89.5,4,4
"3",346,346,139291,24,3,5,"42.75","52.5","54.25","59.75",60,15,-1,-1,1271,1269,1377,345,345,"Projektanforderungen ändern sich","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",2,"classic","BB2",1271,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Wechsel der Nutzervertreter BO (z. B. durch Pensionierungen)  <br>- lange Projektlaufzeit","	- Kostensteigerungen <br>- zeitliche Verzögerungen <br>- Veränderung des technischen Standards zwischen Planung und Inbetriebnahme",171,217,210,239,NA,3,3,2,3,FALSE,TRUE,NA,46,11.5,29,7.25,1334,0.83375,150,9.375,75,9.375,194,224.5,3,3
"5",346,346,139293,NA,NA,NA,"","","","",NA,NA,-1,-1,1377,1271,1273,346,346,"Nutzung der Erfahrung der Beteiligten aus den Fachbereichen, Fachbereichsmitarbeiter:innen zu Beteiligten machen und einbeziehen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",3,"classic","BB3",1377,561,"classic","02.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,-1,"","","Frühzeitige Erhebung und Berücksichtigung von Schnittstellenproblemen und -defiziten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",346,346,139295,26,4,5,"73.5","11.75","82.75","20.75",80,20,-1,-1,1273,1377,1275,347,347,"keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",4,"classic","BB4",1273,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","im Rahmen der Projektplanung werden Dienstpläne, Urlaubszeiten oder Zeiten intensiver zusätzlicher Tätigkeiten (z. B. Jahresabschluss) nicht berücksichtigt <br>(Fachbereiche, Hygiene)","	- Projektverzögerung <br>- verzögerte Inbetriebnahme",294,331,47,83,NA,4,5,4,5,TRUE,TRUE,NA,37,9.25,36,9,1332,0.8325,146,9.125,73,9.125,312.5,65,4,5
"9",346,346,139297,15,4,4,"50.5","55.5","57.75","61",64,16,-1,-1,1275,1273,1277,348,348,"Abhängigkeiten der Projektumsetzung von Einzelpersonen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",5,"classic","BB5",1275,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",202,231,222,244,NA,3,3,2,3,FALSE,FALSE,NA,29,7.25,22,5.5,638,0.39875,102,6.375,51,6.375,216.5,233,3,3
"11",346,346,139299,10,3,4,"27.75","85.75","37.5","91.5",48,12,-1,-1,1277,1275,1279,349,349,"Veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",6,"classic","BB6",1277,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",111,150,343,366,NA,2,2,1,1,FALSE,FALSE,NA,39,9.75,23,5.75,897,0.560625,124,7.75,62,7.75,130.5,354.5,2,1
"13",346,346,139301,9,2,3,"38.75","47.5","46.75","55.75",24,6,-1,-1,1279,1277,1281,350,350,"neue, überzogene (An-)Forderungen der Nutzer/Partner","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",7,"classic","BB7",1279,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",155,187,190,223,NA,2,3,3,3,TRUE,TRUE,NA,32,8,33,8.25,1056,0.66,130,8.125,65,8.125,171,206.5,3,3
"15",346,346,139303,18,2,3,"6.75","3.25","11.25","12",24,6,-1,-1,1281,1279,1283,351,351,"Falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",8,"classic","BB8",1281,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",27,45,13,48,NA,1,1,5,5,FALSE,FALSE,NA,18,4.5,35,8.75,630,0.39375,106,6.625,53,6.625,36,30.5,1,5
"17",346,346,139305,13,3,4,"32","33.25","38.25","39",48,12,-1,-1,1283,1281,1285,352,352,"Überlastung des Projektteams","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",9,"classic","BB9",1283,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","mehrere gleichzeitig laufende Projekte","Projektverzögerung",128,153,133,156,NA,2,2,4,4,TRUE,FALSE,NA,25,6.25,23,5.75,575,0.359375,96,6,48,6,140.5,144.5,2,4
"19",346,346,139307,13,2,3,"37.5","43.5","44.75","48.75",24,6,-1,-1,1285,1283,1287,353,353,"mangelnde Unterstützung/Widerstand von Beteiligten und Betroffenen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",10,"classic","BB10",1285,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","Projektverzögerung",150,179,174,195,NA,2,3,3,3,TRUE,TRUE,NA,29,7.25,21,5.25,609,0.380625,100,6.25,50,6.25,164.5,184.5,3,3
