""	"ACC2SURV_ACCID"	"ANS2SURV_ID"	"IMPACT"	"OCCURRENCE"	"X1PCT"	"Y1PCT"	"X2PCT"	"Y2PCT"	"QUES2SURV_QUESID"	"QUES2SURV_METHOD"	"X1Pixel"	"X2Pixel"	"Y1Pixel"	"Y2Pixel"	"ClassicGrid"	"getlowx"	"gethighx"	"getlowy"	"gethighy"	"hitOcc"	"hitImp"
"1"	346	139289	3	3	"63"	"19"	"68"	"25.75"	344	"classic"	252	272	76	103	"Grid44"	4	4	4	5	FALSE	FALSE
"2"	346	139290	4	2	"63"	"19"	"68"	"25,75"	344	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"3"	346	139291	3	5	"42.75"	"52.5"	"54.25"	"59.75"	345	"classic"	171	217	210	239	"Grid44"	3	3	2	3	FALSE	TRUE
"4"	346	139292	3	3	"42,75"	"52,5"	"54,25"	"59,75"	345	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"5"	346	139293	NA	NA	""	""	""	""	346	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"6"	346	139294	NA	NA	""	""	""	""	346	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"7"	346	139295	4	5	"73.5"	"11.75"	"82.75"	"20.75"	347	"classic"	294	331	47	83	"Grid44"	4	5	4	5	TRUE	TRUE
"8"	346	139296	4	1	"73,5"	"11,75"	"82,75"	"20,75"	347	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"9"	346	139297	4	4	"50.5"	"55.5"	"57.75"	"61"	348	"classic"	202	231	222	244	"Grid44"	3	3	2	3	FALSE	FALSE
"10"	346	139298	3	3	"50,5"	"55,5"	"57,75"	"61"	348	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"11"	346	139299	3	4	"27.75"	"85.75"	"37.5"	"91.5"	349	"classic"	111	150	343	366	"Grid44"	2	2	1	1	FALSE	FALSE
"12"	346	139300	2	5	"27,75"	"85,75"	"37,5"	"91,5"	349	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"13"	346	139301	2	3	"38.75"	"47.5"	"46.75"	"55.75"	350	"classic"	155	187	190	223	"Grid44"	2	3	3	3	TRUE	FALSE
"14"	346	139302	3	3	"38,75"	"47,5"	"46,75"	"55,75"	350	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"15"	346	139303	2	3	"6.75"	"3.25"	"11.25"	"12"	351	"classic"	27	45	13	48	"Grid44"	1	1	5	5	FALSE	FALSE
"16"	346	139304	1	1	"6,75"	"3,25"	"11,25"	"12"	351	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"17"	346	139305	3	4	"32"	"33.25"	"38.25"	"39"	352	"classic"	128	153	133	156	"Grid44"	2	2	4	4	FALSE	FALSE
