"","id","answers","percentAuswirkung","percentEintrittsw","Anzahl Auswirkung getroffen","Anzahl Eintrittsw. getroffen","Uncertainty Auswirkung","Uncertainty Eintrittsw.","actualuserRole"
"1",346,32,37.5,50,12,16,6.85,4.64,1
"2",41,80,76.25,85,61,68,29.82,38.18,2
"3",378,47,97.87,59.57,46,28,44.96,13.4,1
"4",331,86,62.79,37.21,54,32,22.19,9.97,1
"5",343,60,70,73.33,42,44,31.57,30.01,1
"6",351,84,63.1,61.9,53,52,10.63,10.61,1
"7",373,86,69.77,68.6,60,59,22.83,22.39,1
"8",340,62,67.74,48.39,42,30,19.07,14.87,1
"9",368,86,72.09,55.81,62,48,19.62,19.24,1
"10",341,81,34.57,29.63,28,24,5.71,4.31,1
"11",364,86,98.84,87.21,85,75,42.88,21.67,1
"12",329,86,52.33,66.28,45,57,9.12,12.33,1
"13",332,86,66.28,54.65,57,47,16.41,12.43,1
"14",345,76,80.26,73.68,61,56,29.47,26.22,1
"15",358,45,53.33,46.67,24,21,22.68,29.57,1
"16",337,82,95.12,79.27,78,65,21.14,17.39,1
"17",334,61,59.02,65.57,36,40,14.42,12.32,1
"18",359,86,69.77,44.19,60,38,16.67,15.4,1
"19",22,86,95.35,68.6,82,59,42.78,17.88,1
"20",403,86,47.67,46.51,41,40,8.99,8,2
"21",338,71,74.65,59.15,53,42,20.7,15.11,1
"22",324,74,79.73,82.43,59,61,31.51,24.32,1
"23",441,80,75,46.25,60,37,28.1,7.32,2
"24",421,86,56.98,45.35,49,39,16.78,9.91,2
"25",486,71,69.01,61.97,49,44,20.23,16.36,2
"26",485,82,64.63,29.27,53,24,22.11,7.43,2
"27",487,83,57.83,55.42,48,46,7.39,7.04,2
"28",461,86,80.23,59.3,69,51,18.46,9.69,2
"29",369,77,67.53,58.44,52,45,13.9,11.92,1
"30",481,84,64.29,58.33,54,49,17.76,11.31,2
"31",501,86,67.44,58.14,58,50,23.66,14.81,2
"32",443,84,53.57,54.76,45,46,12.93,10.74,2
"33",483,86,82.56,47.67,71,41,22.67,17.63,2
"34",348,34,88.24,73.53,30,25,28.74,16.57,2
"35",336,70,82.86,61.43,58,43,21.15,19.09,1
"36",521,56,58.93,42.86,33,24,9.38,4.11,2
"37",541,85,50.59,27.06,43,23,5.79,10.94,2
"38",442,85,83.53,71.76,71,61,24.48,27.79,2
"39",561,83,69.88,56.63,58,47,23.85,18.51,2
"40",362,46,71.74,56.52,33,26,18.43,13.61,1
"41",321,86,74.42,60.47,64,52,23.77,14.56,1
"42",372,86,70.93,52.33,61,45,59.94,19.28,1
"43",621,86,51.16,52.33,44,45,13.19,12.84,2
"44",601,86,90.7,73.26,78,63,34.28,20.39,2
"45",641,86,67.44,50,58,43,40.03,15.25,2
"46",727,86,38.37,34.88,33,30,16.5,15.82,2
"47",729,86,68.6,67.44,59,58,26.35,21.56,2
"48",375,86,27.91,29.07,24,25,13.77,10.05,1
"49",322,67,79.1,64.18,53,43,16.07,11.04,1
"50",730,86,54.65,47.67,47,41,15.13,7.47,2
"51",731,58,68.97,43.1,40,25,24.59,10.07,2
"52",701,86,60.47,45.35,52,39,15.71,7.43,2
"53",342,81,83.95,64.2,68,52,33.08,21.42,1
"54",365,86,86.05,56.98,74,49,51.47,38.07,1
"55",374,86,68.6,51.16,59,44,17.84,5.63,1
"56",728,85,74.12,43.53,63,37,25.26,12.6,2
"57",722,86,43.02,53.49,37,46,3.76,3.02,2
"58",741,86,89.53,75.58,77,65,43.46,22.13,2
"59",725,86,100,53.49,86,46,82.31,30.25,2
"60",721,83,66.27,50.6,55,42,28.42,17.27,2
"61",349,85,43.53,44.71,37,38,20.91,9.64,2
"62",726,86,55.81,54.65,48,47,12.22,14.34,2
"63",801,86,76.74,67.44,66,58,34.27,17.14,2
"64",325,35,60,51.43,21,18,13.7,10.9,1
"65",821,86,82.56,45.35,71,39,35.12,14.52,2
"66",350,76,78.95,76.32,60,58,22.19,18.75,2
"67",882,86,83.72,66.28,72,57,34.2,25.68,2
"68",881,79,87.34,82.28,69,65,35.27,21.83,2
"69",922,83,37.35,43.37,31,36,14.9,13,2
"70",901,86,74.42,53.49,64,46,27.2,13.89,2
"71",923,83,74.7,60.24,62,50,28.33,22.38,2
"72",921,86,96.51,73.26,83,63,38.51,24.37,2
"73",822,86,90.7,38.37,78,33,76.73,49.28,2
"74",941,80,65,43.75,52,35,27.27,6.18,2
"75",333,86,53.49,39.53,46,34,18.51,9.13,1
