QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
3912;12;748;281;1;classic;BB001;748;Risiko;Abhängigkeit von Einzelpersonen (Ressourcen, PL, Stellvertreter …);Risikofrage;Beteiligte, Betroffene;BB;;
3915;11;751;281;2;classic;BB002;751;Risiko;Abhängigkeiten der Projektumsetzung von Einzelpersonen;Risikofrage;Beteiligte, Betroffene;BB;;
3911;11;747;281;3;classic;BB003;747;Risiko;Auswirkungen von neuen Forderungen der Nutzer nicht bekannt;Risikofrage;Beteiligte, Betroffene;BB;;
3910;12;746;281;4;classic;BB004;746;Risiko;Dem Nutzer sind nicht alle Anforderungen (aus BO Planung …) bekannt;Risikofrage;Beteiligte, Betroffene;BB;;
3918;12;754;281;5;classic;BB005;754;Risiko;falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer;Risikofrage;Beteiligte, Betroffene;BB;;
3914;12;750;281;6;classic;BB006;750;Risiko;keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung);Risikofrage;Beteiligte, Betroffene;BB;;
3904;12;740;281;7;classic;BB007;740;Risiko;Kommunikationsfehler (bzw. unzureichend) mit Nutzer;Risikofrage;Beteiligte, Betroffene;BB;;
3920;11;756;281;8;classic;BB008;756;Risiko;mangelnde Untersützung/Widerstand von Beteiligten und Betroffenen;Risikofrage;Beteiligte, Betroffene;BB;;
3917;11;753;281;9;classic;BB009;753;Risiko;neue, überzogene (An-)Forderungen der Nutzer/Partner;Risikofrage;Beteiligte, Betroffene;BB;;
3907;11;743;281;10;classic;BB010;743;Risiko;Nutzer nicht oder zu wenig einbezogen;Risikofrage;Beteiligte, Betroffene;BB;;
