QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
3799;1;classic;5;3,2;1,1;3,6;,5;11,52
3799;2;classic;4;3,3;,5;3,3;,5;10,89
3799;0;classic;9;3,2;,8;3,4;,5;10,88
3800;1;classic;6;4,2;,8;2,2;1;9,24
3800;2;classic;4;5;0;2;1,2;10
3800;0;classic;10;4,5;,7;2,1;1;9,45
3804;1;classic;6;4;,6;2,5;,8;10
3804;2;classic;4;3,8;,5;2,8;,5;10,64
3804;0;classic;10;3,9;,6;2,6;,7;10,14
3807;1;classic;6;3,5;1;2,2;1,2;7,7
3807;2;classic;4;3,5;1;2,3;,5;8,05
3807;0;classic;10;3,5;1;2,2;,9;7,7
3803;1;classic;6;4,3;,8;2,5;,8;10,75
3803;2;classic;4;3,8;,5;2,5;1;9,5
3803;0;classic;10;4,1;,7;2,5;,8;10,25
3806;1;classic;6;3,5;1;2,2;1,2;7,7
3806;2;classic;4;3,3;1;2,3;,5;7,59
3806;0;classic;10;3,4;1;2,2;,9;7,48
3798;1;classic;6;3,5;,5;3,5;,5;12,25
3798;2;classic;4;3,8;,5;3,8;,5;14,44
3798;0;classic;10;3,6;,5;3,6;,5;12,96
3805;1;classic;6;3,7;,5;2,5;1;9,25
3805;2;classic;4;3;,8;2;,8;6
3805;0;classic;10;3,4;,7;2,3;,9;7,82
3778;1;classic;4;1,8;1;2;1,4;3,6
3778;2;classic;1;2;0;3;0;6
3778;0;classic;5;1,8;,8;2,2;1,3;3,96
3787;1;classic;6;3,7;,8;2,8;,4;10,36
3787;2;classic;4;4,8;,5;2,5;1,3;12
3787;0;classic;10;4,1;,9;2,7;,8;11,07
3789;1;classic;6;3,7;,5;2,7;1,2;9,99
3789;2;classic;4;4;,8;3,3;1;13,2
3789;0;classic;10;3,8;,6;2,9;1,1;11,02
3777;1;classic;5;3,2;,8;2;,7;6,4
3777;2;classic;4;3,5;,6;2,8;,5;9,8
3777;0;classic;9;3,3;,7;2,3;,7;7,59
3779;1;classic;5;3,2;,8;2,4;,5;7,68
3779;2;classic;4;3;,8;2,5;1,3;7,5
3779;0;classic;9;3,1;,8;2,4;,9;7,44
3774;1;classic;6;3;,6;2,5;,5;7,5
3774;2;classic;4;3;,8;3;,8;9
3774;0;classic;10;3;,7;2,7;,7;8,1
3792;1;classic;5;3,2;,8;3,4;,9;10,88
3792;2;classic;1;4;0;4;0;16
3792;0;classic;6;3,3;,8;3,5;,8;11,55
3793;1;classic;5;2,8;1,1;2,8;1,1;7,84
3793;2;classic;0;;;;;
3793;0;classic;5;2,8;1,1;2,8;1,1;7,84
3797;1;classic;6;3;1,1;2,2;,8;6,6
3797;2;classic;4;3,5;,6;2,5;,6;8,75
3797;0;classic;10;3,2;,9;2,3;,7;7,36
3785;1;classic;5;3;1,6;2,2;,4;6,6
3785;2;classic;3;3,7;,6;2,3;,6;8,51
3785;0;classic;8;3,3;1,3;2,3;,5;7,59
3776;1;classic;6;2,5;1,2;3,3;,5;8,25
3776;2;classic;4;2,8;1;4,5;,6;12,6
3776;0;classic;10;2,6;1,1;3,8;,8;9,88
3786;1;classic;6;3,5;,5;2,3;,8;8,05
3786;2;classic;4;3,3;1;1,8;,5;5,94
3786;0;classic;10;3,4;,7;2,1;,7;7,14
3791;1;classic;6;3,3;,5;2,8;,8;9,24
3791;2;classic;4;3,8;,5;2;,8;7,6
