ANS2SURV_ID;ANS2SURV_DURATION;IMPACT;OCCURRENCE;X1PCT;Y1PCT;X2PCT;Y2PCT;PROZAHL;RPZ;GRAPHIO;GRAPHRPZ;QUES2SURV_ID;Q2SID_PREV;Q2SID_NEXT;QUES2SURV_QUESID;QUES_ID;QUES_TEXT;QUES_TYP;QUES2SURV_SURVID;SURV_NAME;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;ANS2SURV_QUES2SURVID;ANS2SURV_ACC2SURVID;ANS2SURV_METHOD;MODIFIED;ACC2SURV_GROUPID;ACC2SURV_ACCID;ACC2SURV_FIRSTSTEP_DATE;ACC2SURV_MAILFIRST;ACC2SURV_MAILSECOND;ACC2SURV_ROLE;ACC_ADSUSER;ANS2SURV_ANSWERED;ANS2SURV_COMMENT;QUES_CAUSE;QUES_EFFECT
19650894;11;4;4;;;;;64;16;-1;-1;3995;4001;3992;1028;1028;[PO1] Langwierige Entscheidungsfindung;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];36;classic;PO001;3995;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650899;12;4;3;;;;;48;12;-1;-1;3992;3995;3993;1029;1029;[PO2] Nicht vorhandene bzw. nicht kommunizierte QM-Standards;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];37;classic;PO002;3992;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650904;28;;;;;;;;;-1;-1;3993;3992;3994;1030;1030;[PO3] fehlende selbständige interne Koordination (Informationsweitergabe) der Fachabteilung;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];38;classic;PO003;3993;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650909;25;3;4;;;;;48;12;-1;-1;3994;3993;3988;1031;1031;[PO4] Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];39;classic;PO004;3994;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650804;14;4;4;;;;;64;16;-1;-1;4013;4015;4012;1032;1032;[PA1] Kommunikationsfehler mit ausführenden Auftragnehmern (Betriebsführung, Instandhaltung);Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];18;classic;PA001;4013;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650809;16;;;;;;;;;-1;-1;4012;4013;4005;1033;1033;[PA2] Ressourcenverfügbarkeit bei ausführenden Auftragnehmern nicht vorhanden;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];19;classic;PA002;4012;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650814;23;4;3;;;;;48;12;-1;-1;4005;4012;4011;1034;1034;[PA3] Planung ungenau oder nicht vollständig;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];20;classic;PA003;4005;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650819;18;;;;;;;;;-1;-1;4011;4005;4010;1035;1035;[PA4] Ausschreibung fehlerhaft;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];21;classic;PA004;4011;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650824;31;3;4;;;;;48;12;-1;-1;4010;4011;4009;1036;1036;[PA5] Projektdokumentation nicht vollständig bzw. nicht vorhanden;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];22;classic;PA005;4010;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650829;11;3;4;;;;;48;12;-1;-1;4009;4010;4008;1037;1037;[PA6] Übergabedokumentation nicht vollständig bzw. nicht vorhanden;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];23;classic;PA006;4009;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650834;37;4;4;;;;;64;16;-1;-1;4008;4009;4007;1038;1038;[PA7] Lange Projektdauer;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];24;classic;PA007;4008;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650839;12;;;;;;;;;-1;-1;4007;4008;4006;1039;1039;[PA8] Vorgegebene Laufzeiten und Fristen sind nicht berücksichtigt (Beschlussfassung Aufsichtsrat, Einreichung Landesrechnungshof, Ausschreibungsverfahren uvm.);Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];25;classic;PA008;4007;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650844;21;4;3;;;;;48;12;-1;-1;4006;4007;3998;1040;1040;[PA9] verzögerte Freigabe von Planungsschritten und Genehmigungschritten;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];26;classic;PA009;4006;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650849;8;;;;;;;;;-1;-1;3998;4006;4002;1041;1041;[PF1] Folgekostenermittlung nicht transparent;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];27;classic;PF001;3998;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650864;13;4;3;;;;;48;12;-1;-1;4004;4003;3999;1042;1042;[PF2] Betriebsorganisationskonzept nicht gelöst;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];30;classic;PF004;4004;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650874;35;3;3;;;;;36;9;-1;-1;3997;3999;3996;1043;1043;[PF3] unerfüllbare Erwartungshaltung an Auftragnehmer;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];32;classic;PF006;3997;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650879;38;3;4;;;;;48;12;-1;-1;3996;3997;4000;1044;1044;[PF4] einschneidende organisatorische Veränderungen im Betrieb;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];33;classic;PF007;3996;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650884;18;3;4;;;;;48;12;-1;-1;4000;3996;4001;1045;1045;[PF5] personelle Veränderungen (innerhalb der Auftraggeber Organisation) groß;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];34;classic;PF008;4000;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650854;29;;;;;;;;;-1;-1;4002;3998;4003;1046;1046;[PF1] Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];28;classic;PF002;4002;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650859;10;;;;;;;;;-1;-1;4003;4002;4004;1047;1047;[PF2] Baufeldfreimachung für zukünftige Projekte;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];29;classic;PF003;4003;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;-1;;;
19650889;22;4;3;;;;;48;12;-1;-1;4001;4000;3995;1048;1048;[PF6] keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch);Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];35;classic;PF009;4001;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19650869;24;4;4;;;;;64;16;-1;-1;3999;4004;3997;1049;1049;[PF3] Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];31;classic;PF005;3999;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19651004;15;3;4;;;;;48;12;-1;-1;3970;3974;3973;1050;1050;[SI1] Sperre von Bereichen in der Tiefgarage (Technik für die BRV Anlage fehlt während der Bauphase);Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];58;classic;SI001;3970;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19651014;20;5;4;;;;;80;20;-1;-1;3972;3973;3971;1051;1051;[SI2] Patienten mit Infektion werden separiert geführt;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];60;classic;SI003;3972;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19651019;20;4;4;;;;;64;16;-1;-1;3971;3972;3966;1052;1052;[SI3] Steigerung der Sicherheit von Patient: innen, Mitarbeiter: innen und Dritter;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];61;classic;SI004;3971;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19651009;10;4;3;;;;;48;12;-1;-1;3973;3970;3972;1053;1053;[SI2] keine ausreichende Einbindung und Information der Sicherheitsbeauftragten über sicherheitsrelevante Faktoren;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];59;classic;SI002;3973;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19651024;11;4;4;;;;;64;16;-1;-1;3966;3971;3964;1054;1054;[TE1] Auswirkung an angrenzende Bereiche (befinden sich daneben, darüber, darunter);Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];62;classic;TE001;3966;1861;classic;08.10.2025;1;407;;;;1;ROLLJ;1;;;
19630917;11;4;3;;;;;48;12;-1;-1;3989;3982;3990;997;997;[PU2] Verbesserung der Positionierung am Arbeitsmarkt;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];43;classic;PU004;3989;1832;classic;22.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
19630918;5;4;4;;;;;64;16;-1;-1;3990;3989;3983;998;998;[PU3] Verbesserung der interdisziplinären Zusammenarbeit ;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];44;classic;PU005;3990;1832;classic;22.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
19630920;24;4;3;;;;;48;12;-1;-1;3991;3983;3984;999;999;[PU4] Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum;Chance;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];46;classic;PU007;3991;1832;classic;22.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
19630923;7;4;2;;;;;32;8;-1;-1;3986;3985;3987;1000;1000;[PU6] Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden;Risiko;301;E-CMZ Klinikum KL [Teil2 - Alle Fragen];49;classic;PU010;3986;1832;classic;22.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
