QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
4026;6;1019;301;1;classic;BB001;1019;Risiko;[BB1] Kommunikationsfehler (Verständnisfehler) mit Nutzer;Risikofrage;Beteiligte, Betroffene;BB;;
4029;6;1021;301;2;classic;BB002;1021;Chance;[BB1] Nutzer sind ausreichend über das Projekt informiert;Chancenfrage;Beteiligte, Betroffene;BB;;
4030;6;1023;301;3;classic;BB003;1023;Chance;"[BB2] Nutzung der Erfahrung der Beteiligten aus den Fachbereichen; Fachbereichsmitarbeiter: innen zu Beteiligten machen und einbeziehen";Chancenfrage;Beteiligte, Betroffene;BB;;
4027;6;1020;301;4;classic;BB004;1020;Risiko;[BB2] Personalwechsel in Schlüsselpositionen intern in der KABEG;Risikofrage;Beteiligte, Betroffene;BB;;
4025;6;1022;301;5;classic;BB005;1022;Risiko;[BB3] Projektanforderungen ändern sich;Risikofrage;Beteiligte, Betroffene;BB;;
4024;6;1024;301;6;classic;BB006;1024;Risiko;[BB4] Abhängigkeiten der Projektumsetzung von Einzelpersonen;Risikofrage;Beteiligte, Betroffene;BB;;
4023;6;1025;301;7;classic;BB007;1025;Risiko;[BB5] veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit;Risikofrage;Beteiligte, Betroffene;BB;;
4022;6;1026;301;8;classic;BB008;1026;Risiko;[BB6] neue, überzogene (An-)Forderungen der Nutzer/Partner;Risikofrage;Beteiligte, Betroffene;BB;;
4028;6;1027;301;9;classic;BB009;1027;Risiko;[BB7] falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner;Risikofrage;Beteiligte, Betroffene;BB;;
4020;6;1004;301;10;classic;ÖU001;1004;Chance;[ÖU1] Integration ressourcenschonender Energienutzungsmodelle in die Projektplanung (Alternativenergie, Passivhausstandard, Kühlung/Energiespeicherung durch Grundwasser, Photovoltaik (z. B. in Fassade integrieren oder am Dach), Erdwärme, Sonnenschutz - starke Lamellen, Fassadenfarbe, Niedertemperatur Heiz-Kühlsystem (Baukernaktivierung,  usw.);Chancenfrage;Ökologie, Umwelt;ÖU;;
4016;6;1002;301;11;classic;ÖU002;1002;Risiko;[ÖU1] Umwelteinflüsse können Projekt behindern oder beeinflussen;Risikofrage;Ökologie, Umwelt;ÖU;;
4021;5;1009;301;12;classic;ÖU003;1009;Chance;[ÖU2] Förderungen auf Grund der Neubausituation lukrieren;Chancenfrage;Ökologie, Umwelt;ÖU;;
4019;6;1003;301;13;classic;ÖU004;1003;Risiko;[ÖU2] Lärm- und Staubbelästigung während der Bauphase und somit Einfluss auf die Patient: innen und Mitarbeiter: innen in den umliegenden Gebäude(-teile) ==> Nähe Notfallaufnahme ==> zentraler Verkehrsknotenpunkt;Risikofrage;Ökologie, Umwelt;ÖU;;
4018;6;1005;301;14;classic;ÖU005;1005;Risiko;[ÖU3] Erschütterungen während der Bauphase (Beeinflusst Medizin-und Labortechnik);Risikofrage;Ökologie, Umwelt;ÖU;;
4017;6;1006;301;15;classic;ÖU006;1006;Risiko;[ÖU4] Verunreinigung angrenzender Gebäude;Risikofrage;Ökologie, Umwelt;ÖU;;
4014;6;1007;301;16;classic;ÖU007;1007;Risiko;[ÖU5] Verunreinigung des Grundwasser;Risikofrage;Ökologie, Umwelt;ÖU;;
4015;6;1008;301;17;classic;ÖU008;1008;Risiko;[ÖU6] unkontrollierter Wassereintritt;Risikofrage;Ökologie, Umwelt;ÖU;;
4013;6;1032;301;18;classic;PA001;1032;Risiko;[PA1] Kommunikationsfehler mit ausführenden Auftragnehmern (Betriebsführung, Instandhaltung);Risikofrage;Projektablauf;PA;;
4012;5;1033;301;19;classic;PA002;1033;Risiko;[PA2] Ressourcenverfügbarkeit bei ausführenden Auftragnehmern nicht vorhanden;Risikofrage;Projektablauf;PA;;
4005;6;1034;301;20;classic;PA003;1034;Risiko;[PA3] Planung ungenau oder nicht vollständig;Risikofrage;Projektablauf;PA;;
4011;5;1035;301;21;classic;PA004;1035;Risiko;[PA4] Ausschreibung fehlerhaft;Risikofrage;Projektablauf;PA;;
4010;6;1036;301;22;classic;PA005;1036;Risiko;[PA5] Projektdokumentation nicht vollständig bzw. nicht vorhanden;Risikofrage;Projektablauf;PA;;
4009;6;1037;301;23;classic;PA006;1037;Risiko;[PA6] Übergabedokumentation nicht vollständig bzw. nicht vorhanden;Risikofrage;Projektablauf;PA;;
4008;6;1038;301;24;classic;PA007;1038;Risiko;[PA7] Lange Projektdauer;Risikofrage;Projektablauf;PA;;
4007;5;1039;301;25;classic;PA008;1039;Risiko;[PA8] Vorgegebene Laufzeiten und Fristen sind nicht berücksichtigt (Beschlussfassung Aufsichtsrat, Einreichung Landesrechnungshof, Ausschreibungsverfahren uvm.);Risikofrage;Projektablauf;PA;;
4006;6;1040;301;26;classic;PA009;1040;Risiko;[PA9] verzögerte Freigabe von Planungsschritten und Genehmigungschritten;Risikofrage;Projektablauf;PA;;
3998;5;1041;301;27;classic;PF001;1041;Risiko;[PF1] Folgekostenermittlung nicht transparent;Risikofrage;Projektfolgen;PF;;
4002;5;1046;301;28;classic;PF002;1046;Chance;[PF1] Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen;Chancenfrage;Projektfolgen;PF;;
4003;5;1047;301;29;classic;PF003;1047;Chance;[PF2] Baufeldfreimachung für zukünftige Projekte;Chancenfrage;Projektfolgen;PF;;
4004;6;1042;301;30;classic;PF004;1042;Risiko;[PF2] Betriebsorganisationskonzept nicht gelöst;Risikofrage;Projektfolgen;PF;;
3999;6;1049;301;31;classic;PF005;1049;Chance;[PF3] Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche;Chancenfrage;Projektfolgen;PF;;
3997;5;1043;301;32;classic;PF006;1043;Risiko;[PF3] unerfüllbare Erwartungshaltung an Auftragnehmer;Risikofrage;Projektfolgen;PF;;
3996;6;1044;301;33;classic;PF007;1044;Risiko;[PF4] einschneidende organisatorische Veränderungen im Betrieb;Risikofrage;Projektfolgen;PF;;
4000;6;1045;301;34;classic;PF008;1045;Risiko;[PF5] personelle Veränderungen (innerhalb der Auftraggeber Organisation) groß;Risikofrage;Projektfolgen;PF;;
4001;6;1048;301;35;classic;PF009;1048;Risiko;[PF6] keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch);Risikofrage;Projektfolgen;PF;;
3995;6;1028;301;36;classic;PO001;1028;Risiko;[PO1] Langwierige Entscheidungsfindung;Risikofrage;Projektorganisation;PO;;
3992;5;1029;301;37;classic;PO002;1029;Risiko;[PO2] Nicht vorhandene bzw. nicht kommunizierte QM-Standards;Risikofrage;Projektorganisation;PO;;
3993;5;1030;301;38;classic;PO003;1030;Risiko;[PO3] fehlende selbständige interne Koordination (Informationsweitergabe) der Fachabteilung;Risikofrage;Projektorganisation;PO;;
3994;6;1031;301;39;classic;PO004;1031;Risiko;[PO4] Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen;Risikofrage;Projektorganisation;PO;;
3988;6;996;301;40;classic;PU001;996;Chance;[PU1] Einhaltung aktueller gesetzlicher/betrieblicher Auflagen und Einschränkungen ;Chancenfrage;Projektumfeld;PU;;
3981;6;991;301;41;classic;PU002;991;Risiko;[PU1] Konflikte mit anderen Projekten (nicht nur Bauprojekte) oder mit dem laufenden Betrieb;Risikofrage;Projektumfeld;PU;;
3982;6;992;301;42;classic;PU003;992;Risiko;[PU2] Politisch Einfluss auf das Projekt zu erwarten (bedeutender Projektinhalt);Risikofrage;Projektumfeld;PU;;
3989;5;997;301;43;classic;PU004;997;Chance;[PU2] Verbesserung der Positionierung am Arbeitsmarkt;Chancenfrage;Projektumfeld;PU;;
3990;6;998;301;44;classic;PU005;998;Chance;[PU3] Verbesserung der interdisziplinären Zusammenarbeit ;Chancenfrage;Projektumfeld;PU;;
3983;6;993;301;45;classic;PU006;993;Risiko;[PU3] Widerstand und Einfluss von innen (Abteilungen, Stationen …);Risikofrage;Projektumfeld;PU;;
3991;4;999;301;46;classic;PU007;999;Chance;[PU4] Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum;Chancenfrage;Projektumfeld;PU;;
3984;6;994;301;47;classic;PU008;994;Risiko;[PU4] Widerstand und Einfluss von außen (z.B. Anrainer …);Risikofrage;Projektumfeld;PU;;
3985;6;995;301;48;classic;PU009;995;Risiko;[PU5] Bei Inbetriebnahme keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z.B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.);Risikofrage;Projektumfeld;PU;;
3986;6;1000;301;49;classic;PU010;1000;Risiko;[PU6] Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden;Risikofrage;Projektumfeld;PU;;
