QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4026;1;classic;6;2,8;,4;3,7;,5;10,36
4026;2;classic;0;;;;;
4026;0;classic;6;2,8;,4;3,7;,5;10,36
4029;1;classic;6;3,7;,5;3;1,3;11,1
4029;2;classic;0;;;;;
4029;0;classic;6;3,7;,5;3;1,3;11,1
4030;1;classic;6;4;0;4;0;16
4030;2;classic;0;;;;;
4030;0;classic;6;4;0;4;0;16
4027;1;classic;6;3,3;,5;3,3;,8;10,89
4027;2;classic;0;;;;;
4027;0;classic;6;3,3;,5;3,3;,8;10,89
4025;1;classic;6;3,5;,5;3,3;,8;11,55
4025;2;classic;0;;;;;
4025;0;classic;6;3,5;,5;3,3;,8;11,55
4024;1;classic;6;3;,9;2,7;,5;8,1
4024;2;classic;0;;;;;
4024;0;classic;6;3;,9;2,7;,5;8,1
4023;1;classic;6;3,2;,8;2,7;,8;8,64
4023;2;classic;0;;;;;
4023;0;classic;6;3,2;,8;2,7;,8;8,64
4022;1;classic;6;3,2;,8;3,5;,5;11,2
4022;2;classic;0;;;;;
4022;0;classic;6;3,2;,8;3,5;,5;11,2
4028;1;classic;6;3,2;,8;3,2;1;10,24
4028;2;classic;0;;;;;
4028;0;classic;6;3,2;,8;3,2;1;10,24
4020;1;classic;6;4,2;,4;4;0;16,8
4020;2;classic;0;;;;;
4020;0;classic;6;4,2;,4;4;0;16,8
4016;1;classic;6;2,8;,8;2,7;,8;7,56
4016;2;classic;0;;;;;
4016;0;classic;6;2,8;,8;2,7;,8;7,56
4021;1;classic;5;3,2;,8;3,4;,5;10,88
4021;2;classic;0;;;;;
4021;0;classic;5;3,2;,8;3,4;,5;10,88
4019;1;classic;6;3,2;,8;3,7;,5;11,84
4019;2;classic;0;;;;;
4019;0;classic;6;3,2;,8;3,7;,5;11,84
4018;1;classic;6;3,2;,8;3,7;,5;11,84
4018;2;classic;0;;;;;
4018;0;classic;6;3,2;,8;3,7;,5;11,84
4017;1;classic;6;3,2;,8;3,7;,5;11,84
4017;2;classic;0;;;;;
4017;0;classic;6;3,2;,8;3,7;,5;11,84
4014;1;classic;6;2,7;,8;3;0;8,1
4014;2;classic;0;;;;;
4014;0;classic;6;2,7;,8;3;0;8,1
4015;1;classic;6;3,5;,5;3,7;,5;12,95
4015;2;classic;0;;;;;
4015;0;classic;6;3,5;,5;3,7;,5;12,95
4013;1;classic;6;3,7;,8;2,8;,8;10,36
4013;2;classic;0;;;;;
4013;0;classic;6;3,7;,8;2,8;,8;10,36
4012;1;classic;5;3,2;,8;2,8;,8;8,96
4012;2;classic;0;;;;;
4012;0;classic;5;3,2;,8;2,8;,8;8,96
4005;1;classic;6;3,2;1;2,7;,5;8,64
4005;2;classic;0;;;;;
4005;0;classic;6;3,2;1;2,7;,5;8,64
4011;1;classic;5;2,8;,4;3;,7;8,4
4011;2;classic;0;;;;;
4011;0;classic;5;2,8;,4;3;,7;8,4
4010;1;classic;6;3,2;,8;3;,6;9,6
4010;2;classic;0;;;;;
4010;0;classic;6;3,2;,8;3;,6;9,6
4009;1;classic;6;3,2;,8;3,2;,4;10,24
4009;2;classic;0;;;;;
4009;0;classic;6;3,2;,8;3,2;,4;10,24
4008;1;classic;6;3,5;,8;3,5;1;12,25
4008;2;classic;0;;;;;
4008;0;classic;6;3,5;,8;3,5;1;12,25
4007;1;classic;5;3,2;,8;3,2;,8;10,24
4007;2;classic;0;;;;;
4007;0;classic;5;3,2;,8;3,2;,8;10,24
4006;1;classic;6;3,5;,8;3,3;,5;11,55
4006;2;classic;0;;;;;
4006;0;classic;6;3,5;,8;3,3;,5;11,55
3998;1;classic;5;2,8;,4;2,8;,4;7,84
3998;2;classic;0;;;;;
3998;0;classic;5;2,8;,4;2,8;,4;7,84
4002;1;classic;5;3;,7;3;,7;9
4002;2;classic;0;;;;;
4002;0;classic;5;3;,7;3;,7;9
4003;1;classic;5;3,2;1,1;3,4;,5;10,88
4003;2;classic;0;;;;;
4003;0;classic;5;3,2;1,1;3,4;,5;10,88
4004;1;classic;6;3,2;,8;3,3;,5;10,56
4004;2;classic;0;;;;;
4004;0;classic;6;3,2;,8;3,3;,5;10,56
3999;1;classic;6;3,5;,5;3,5;,5;12,25
3999;2;classic;0;;;;;
3999;0;classic;6;3,5;,5;3,5;,5;12,25
3997;1;classic;5;3;,7;3,2;,8;9,6
3997;2;classic;0;;;;;
3997;0;classic;5;3;,7;3,2;,8;9,6
3996;1;classic;6;3,3;,8;3,3;,8;10,89
3996;2;classic;0;;;;;
