ANS2SURV_ID;ANS2SURV_DURATION;IMPACT;OCCURRENCE;X1PCT;Y1PCT;X2PCT;Y2PCT;PROZAHL;RPZ;GRAPHIO;GRAPHRPZ;QUES2SURV_ID;Q2SID_PREV;Q2SID_NEXT;QUES2SURV_QUESID;QUES_ID;QUES_TEXT;QUES_TYP;QUES2SURV_SURVID;SURV_NAME;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;ANS2SURV_QUES2SURVID;ANS2SURV_ACC2SURVID;ANS2SURV_METHOD;MODIFIED;ACC2SURV_GROUPID;ACC2SURV_ACCID;ACC2SURV_FIRSTSTEP_DATE;ACC2SURV_MAILFIRST;ACC2SURV_MAILSECOND;ACC2SURV_ROLE;ACC_ADSUSER;ANS2SURV_ANSWERED;ANS2SURV_COMMENT;QUES_CAUSE;QUES_EFFECT
19636262;10;2;3;;;;;24;6;-1;-1;4032;4034;4033;922;922;[PU2] Verbesserung der Positionierung am Arbeitsmarkt;Chance;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];6;classic;PU001;4032;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636263;10;2;4;;;;;32;8;-1;-1;4033;4032;4031;923;923;[PU4] Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum;Chance;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];7;classic;PU002;4033;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636257;13;3;4;;;;;48;12;-1;-1;4037;0;4038;924;924;[ÖU3] Erschütterungen während der Bauphase (Beeinflusst Medizin-und Labortechnik);Risiko;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];1;classic;ÖU001;4037;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636258;17;2;3;;;;;24;6;-1;-1;4038;4037;4036;925;925;[ÖU5] Verunreinigung des Grundwasser;Risiko;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];2;classic;ÖU002;4038;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636264;15;3;3;;;;;36;9;-1;-1;4031;4033;0;926;926;[UV2] Änderung/Reduktion der/des medizinischen Leistungsplanung/-spektrums/-angebotsplanung bis zur Inbetriebnahme;Risiko;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];8;classic;UV001;4031;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636259;14;4;4;;;;;64;16;-1;-1;4036;4038;4035;927;927;[PA8] Vorgegebene Laufzeiten und Fristen sind nicht berücksichtigt (Beschlussfassung Aufsichtsrat, Einreichung Landesrechnungshof, Ausschreibungsverfahren uvm.);Risiko;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];3;classic;PA001;4036;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636260;7;3;4;;;;;48;12;-1;-1;4035;4036;4034;928;928;[PF1] Folgekostenermittlung nicht transparent;Risiko;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];4;classic;PF001;4035;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19636261;5;3;4;;;;;48;12;-1;-1;4034;4035;4032;929;929;[PF2] Betriebsorganisationskonzept nicht gelöst;Risiko;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];5;classic;PF002;4034;1806;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19630864;8;4;4;;;;;64;16;-1;-1;4032;4034;4033;922;922;[PU2] Verbesserung der Positionierung am Arbeitsmarkt;Chance;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];6;classic;PU001;4032;1828;classic;16.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
19630865;39;4;4;;;;;64;16;-1;-1;4033;4032;4031;923;923;[PU4] Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum;Chance;302;E-CMZ Klinikum KL [Teil2 - BO Fragen];7;classic;PU002;4033;1828;classic;16.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
