QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4037;1;classic;2;3,5;,7;3;1,4;10,5
4037;2;classic;0;;;;;
4037;0;classic;2;3,5;,7;3;1,4;10,5
4038;1;classic;2;2;0;3;0;6
4038;2;classic;0;;;;;
4038;0;classic;2;2;0;3;0;6
4036;1;classic;2;4;0;4;0;16
4036;2;classic;0;;;;;
4036;0;classic;2;4;0;4;0;16
4035;1;classic;2;3,5;,7;3,5;,7;12,25
4035;2;classic;0;;;;;
4035;0;classic;2;3,5;,7;3,5;,7;12,25
4034;1;classic;2;3,5;,7;3,5;,7;12,25
4034;2;classic;0;;;;;
4034;0;classic;2;3,5;,7;3,5;,7;12,25
4032;1;classic;2;3;1,4;3,5;,7;10,5
4032;2;classic;0;;;;;
4032;0;classic;2;3;1,4;3,5;,7;10,5
4033;1;classic;2;3;1,4;4;0;12
4033;2;classic;0;;;;;
4033;0;classic;2;3;1,4;4;0;12
4031;1;classic;2;2,5;,7;3;0;7,5
4031;2;classic;0;;;;;
4031;0;classic;2;2,5;,7;3;0;7,5
