ANS2SURV_ID;ANS2SURV_DURATION;IMPACT;OCCURRENCE;X1PCT;Y1PCT;X2PCT;Y2PCT;PROZAHL;RPZ;GRAPHIO;GRAPHRPZ;QUES2SURV_ID;Q2SID_PREV;Q2SID_NEXT;QUES2SURV_QUESID;QUES_ID;QUES_TEXT;QUES_TYP;QUES2SURV_SURVID;SURV_NAME;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;ANS2SURV_QUES2SURVID;ANS2SURV_ACC2SURVID;ANS2SURV_METHOD;MODIFIED;ACC2SURV_GROUPID;ACC2SURV_ACCID;ACC2SURV_FIRSTSTEP_DATE;ACC2SURV_MAILFIRST;ACC2SURV_MAILSECOND;ACC2SURV_ROLE;ACC_ADSUSER;ANS2SURV_ANSWERED;ANS2SURV_COMMENT;QUES_CAUSE;QUES_EFFECT
19655759;;;;;;;;;;-1;-1;4045;4040;4043;941;941;[TE3] Fernwärme/Kälteversorgung für zukünftige Versorgung berücksichtigen (Neuverlegung, Trassenführung);Chance;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];13;classic;TE005;4045;1812;classic;10.10.2025;1;41;;14.10.2025;;1;GLASAUERJ;0;;;
19655763;;;;;;;;;;-1;-1;4043;4045;0;942;942;[TE4] Kollektorgänge für zukünftige Erweiterungen vorbereitet (Onkozentrum);Chance;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];14;classic;TE006;4043;1812;classic;10.10.2025;1;41;;14.10.2025;;1;GLASAUERJ;0;;;
19655751;;;;;;;;;;-1;-1;4042;4041;4040;943;943;[TE2] IT- und MT-Schnittstellenproblematiken zwischen den Einrichtungen werden nicht ausreichend berücksichtigt;Risiko;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];11;classic;TE003;4042;1812;classic;10.10.2025;1;41;;14.10.2025;;1;GLASAUERJ;0;;;
19629367;38;5;5;;;;;100;25;-1;-1;4053;0;4052;930;930;[ÖU1] Integration ressourcenschonender Energienutzungsmodelle in die Projektplanung (Alternativenergie, Passivhausstandard, Kühlung/Energiespeicherung durch Grundwasser, Photovoltaik (z. B. in Fassade integrieren oder am Dach), Erdwärme, Sonnenschutz - starke Lamellen, Fassadenfarbe, Niedertemperatur Heiz-Kühlsystem (Baukernaktivierung,  usw.);Chance;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];1;classic;ÖU001;4053;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
19629368;28;4;2;;;;;32;8;-1;-1;4052;4053;4050;931;931;[ÖU6] unkontrollierter Wassereintritt;Risiko;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];2;classic;ÖU002;4052;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
19629374;12;3;3;;;;;36;9;-1;-1;4046;4048;4044;932;932;[RA1] Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken;Risiko;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];8;classic;RA001;4046;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
19629369;18;3;2;;;;;24;6;-1;-1;4050;4052;4051;933;933;[PA1] Kommunikationsfehler mit ausführenden Auftragnehmern (Betriebsführung, Instandhaltung);Risiko;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];3;classic;PA001;4050;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
19629370;13;3;2;;;;;24;6;-1;-1;4051;4050;4049;934;934;[PA2] Ressourcenverfügbarkeit bei ausführenden Auftragnehmern nicht vorhanden;Risiko;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];4;classic;PA002;4051;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
19629371;12;5;2;;;;;40;10;-1;-1;4049;4051;4047;935;935;[PA4] Ausschreibung fehlerhaft;Risiko;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];5;classic;PA003;4049;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
19629372;13;5;4;;;;;80;20;-1;-1;4047;4049;4048;936;936;[PF2] Baufeldfreimachung für zukünftige Projekte;Chance;308;E-CMZ Klinikum KL [Teil2 - IKT/MT Fragen];6;classic;PF001;4047;1822;classic;13.08.2025;1;1081;;28.08.2025;;1;GFRERERG;1;;;
