QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4053;1;classic;4;4,8;,5;4,3;,5;20,64
4053;2;classic;0;;;;;
4053;0;classic;4;4,8;,5;4,3;,5;20,64
4052;1;classic;4;4;0;2,8;,5;11,2
4052;2;classic;0;;;;;
4052;0;classic;4;4;0;2,8;,5;11,2
4050;1;classic;4;3,5;,6;3;,8;10,5
4050;2;classic;0;;;;;
4050;0;classic;4;3,5;,6;3;,8;10,5
4051;1;classic;4;4;1,2;2,5;,6;10
4051;2;classic;0;;;;;
4051;0;classic;4;4;1,2;2,5;,6;10
4049;1;classic;4;4;,8;2,8;,5;11,2
4049;2;classic;0;;;;;
4049;0;classic;4;4;,8;2,8;,5;11,2
4047;1;classic;4;3,5;1,3;3,8;,5;13,3
4047;2;classic;0;;;;;
4047;0;classic;4;3,5;1,3;3,8;,5;13,3
4048;1;classic;4;3,5;,6;2,8;,5;9,8
4048;2;classic;0;;;;;
4048;0;classic;4;3,5;,6;2,8;,5;9,8
4046;1;classic;4;3,3;1;2,5;,6;8,25
4046;2;classic;0;;;;;
4046;0;classic;4;3,3;1;2,5;,6;8,25
4044;1;classic;4;3,3;,5;2,8;1;9,24
4044;2;classic;0;;;;;
4044;0;classic;4;3,3;,5;2,8;1;9,24
4041;1;classic;4;4,3;,5;4;,8;17,2
4041;2;classic;0;;;;;
4041;0;classic;4;4,3;,5;4;,8;17,2
4042;1;classic;4;3;,8;2,5;,6;7,5
4042;2;classic;0;;;;;
4042;0;classic;4;3;,8;2,5;,6;7,5
4040;1;classic;4;4;0;4;,8;16
4040;2;classic;0;;;;;
4040;0;classic;4;4;0;4;,8;16
4045;1;classic;4;3;1,4;3,8;1,3;11,4
4045;2;classic;0;;;;;
4045;0;classic;4;3;1,4;3,8;1,3;11,4
4043;1;classic;4;3,8;,5;3,8;,5;14,44
4043;2;classic;0;;;;;
4043;0;classic;4;3,8;,5;3,8;,5;14,44
