ANS2SURV_ID;ANS2SURV_DURATION;IMPACT;OCCURRENCE;X1PCT;Y1PCT;X2PCT;Y2PCT;PROZAHL;RPZ;GRAPHIO;GRAPHRPZ;QUES2SURV_ID;Q2SID_PREV;Q2SID_NEXT;QUES2SURV_QUESID;QUES_ID;QUES_TEXT;QUES_TYP;QUES2SURV_SURVID;SURV_NAME;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;ANS2SURV_QUES2SURVID;ANS2SURV_ACC2SURVID;ANS2SURV_METHOD;MODIFIED;ACC2SURV_GROUPID;ACC2SURV_ACCID;ACC2SURV_FIRSTSTEP_DATE;ACC2SURV_MAILFIRST;ACC2SURV_MAILSECOND;ACC2SURV_ROLE;ACC_ADSUSER;ANS2SURV_ANSWERED;ANS2SURV_COMMENT;QUES_CAUSE;QUES_EFFECT
19635844;8;4;3;;;;;48;12;-1;-1;4060;4062;4061;944;944;[PU3] Widerstand und Einfluss von innen (Abteilungen, Stationen …);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];2;classic;PU001;4060;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635846;9;3;3;;;;;36;9;-1;-1;4061;4060;4057;945;945;[PU4] Widerstand und Einfluss von außen (z.B. Anrainer …);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];3;classic;PU002;4061;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635854;11;4;3;;;;;48;12;-1;-1;4056;4058;4055;946;946;[RA3] negative Stellungnahme durch den Landesrechnungshof;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];7;classic;RA001;4056;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635858;10;3;4;;;;;48;12;-1;-1;4054;4055;0;947;947;[UV1] veränderte Marktentwicklung;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];9;classic;UV001;4054;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635848;11;4;4;;;;;64;16;-1;-1;4057;4061;4059;948;948;[PV1] Enger Kostenrahmen, keine vollständige finanzielle Deckung vorhanden;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];4;classic;PV001;4057;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635850;11;4;3;;;;;48;12;-1;-1;4059;4057;4058;949;949;[PV3] Planungsfehler;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];5;classic;PV002;4059;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635852;15;5;3;;;;;60;15;-1;-1;4058;4059;4056;950;950;[PV4] Kostenplanungsfehler (z. B. Vorhabens Budget, Investitionsprogramm, Betriebsbudget, Folgekosten usw.);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];6;classic;PV003;4058;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635842;18;3;2;;;;;24;6;-1;-1;4062;0;4060;951;951;[PF3] unerfüllbare Erwartungshaltung an Auftragnehmer;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];1;classic;PF001;4062;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635856;31;2;3;;;;;24;6;-1;-1;4055;4056;4054;952;952;[SI1] Sperre von Bereichen in der Tiefgarage (Technik für die BRV Anlage fehlt während der Bauphase);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];8;classic;SI001;4055;1804;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19629339;;;;;;;;;;-1;-1;4060;4062;4061;944;944;[PU3] Widerstand und Einfluss von innen (Abteilungen, Stationen …);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];2;classic;PU001;4060;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629340;;;;;;;;;;-1;-1;4061;4060;4057;945;945;[PU4] Widerstand und Einfluss von außen (z.B. Anrainer …);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];3;classic;PU002;4061;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629344;;;;;;;;;;-1;-1;4056;4058;4055;946;946;[RA3] negative Stellungnahme durch den Landesrechnungshof;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];7;classic;RA001;4056;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629346;;;;;;;;;;-1;-1;4054;4055;0;947;947;[UV1] veränderte Marktentwicklung;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];9;classic;UV001;4054;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629341;;;;;;;;;;-1;-1;4057;4061;4059;948;948;[PV1] Enger Kostenrahmen, keine vollständige finanzielle Deckung vorhanden;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];4;classic;PV001;4057;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629342;;;;;;;;;;-1;-1;4059;4057;4058;949;949;[PV3] Planungsfehler;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];5;classic;PV002;4059;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629343;;;;;;;;;;-1;-1;4058;4059;4056;950;950;[PV4] Kostenplanungsfehler (z. B. Vorhabens Budget, Investitionsprogramm, Betriebsbudget, Folgekosten usw.);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];6;classic;PV003;4058;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629338;;;;;;;;;;-1;-1;4062;0;4060;951;951;[PF3] unerfüllbare Erwartungshaltung an Auftragnehmer;Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];1;classic;PF001;4062;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19629345;;;;;;;;;;-1;-1;4055;4056;4054;952;952;[SI1] Sperre von Bereichen in der Tiefgarage (Technik für die BRV Anlage fehlt während der Bauphase);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];8;classic;SI001;4055;1815;classic;13.08.2025;1;41;;28.08.2025;;1;GLASAUERJ;0;;;
19639385;25;4;2;;;;;32;8;-1;-1;4060;4062;4061;944;944;[PU3] Widerstand und Einfluss von innen (Abteilungen, Stationen …);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];2;classic;PU001;4060;1830;classic;16.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
19639388;12;3;3;;;;;36;9;-1;-1;4061;4060;4057;945;945;[PU4] Widerstand und Einfluss von außen (z.B. Anrainer …);Risiko;304;E-CMZ Klinikum KL [Teil2 - PM/PL Fragen];3;classic;PU002;4061;1830;classic;16.09.2025;1;1101;;28.08.2025;;1;KREUZH;1;;;
