QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4062;1;classic;5;3,4;,5;2,4;,5;8,16
4062;2;classic;0;;;;;
4062;0;classic;5;3,4;,5;2,4;,5;8,16
4060;1;classic;5;3,8;,4;3;,7;11,4
4060;2;classic;0;;;;;
4060;0;classic;5;3,8;,4;3;,7;11,4
4061;1;classic;5;3,2;,4;2,6;,5;8,32
4061;2;classic;0;;;;;
4061;0;classic;5;3,2;,4;2,6;,5;8,32
4057;1;classic;5;3,6;1,1;3,2;,8;11,52
4057;2;classic;0;;;;;
4057;0;classic;5;3,6;1,1;3,2;,8;11,52
4059;1;classic;5;3,4;,5;3;,7;10,2
4059;2;classic;0;;;;;
4059;0;classic;5;3,4;,5;3;,7;10,2
4058;1;classic;5;4,2;,4;3,2;,4;13,44
4058;2;classic;0;;;;;
4058;0;classic;5;4,2;,4;3,2;,4;13,44
4056;1;classic;5;4;,7;2,8;,4;11,2
4056;2;classic;0;;;;;
4056;0;classic;5;4;,7;2,8;,4;11,2
4055;1;classic;4;2,8;1;3,3;1;9,24
4055;2;classic;0;;;;;
4055;0;classic;4;2,8;1;3,3;1;9,24
4054;1;classic;5;2,8;,4;3,4;,5;9,52
4054;2;classic;0;;;;;
4054;0;classic;5;2,8;,4;3,4;,5;9,52
