QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4080;1;classic;2;4,5;,7;4,5;,7;20,25
4080;2;classic;0;;;;;
4080;0;classic;2;4,5;,7;4,5;,7;20,25
4081;1;classic;2;3,5;,7;3,5;,7;12,25
4081;2;classic;0;;;;;
4081;0;classic;2;3,5;,7;3,5;,7;12,25
4082;1;classic;2;2,5;,7;3;0;7,5
4082;2;classic;0;;;;;
4082;0;classic;2;2,5;,7;3;0;7,5
4083;1;classic;2;3,5;,7;3;0;10,5
4083;2;classic;0;;;;;
4083;0;classic;2;3,5;,7;3;0;10,5
4077;1;classic;2;2,5;,7;3;0;7,5
4077;2;classic;0;;;;;
4077;0;classic;2;2,5;,7;3;0;7,5
4076;1;classic;2;4;0;3;0;12
4076;2;classic;0;;;;;
4076;0;classic;2;4;0;3;0;12
4078;1;classic;2;2,5;,7;3,5;,7;8,75
4078;2;classic;0;;;;;
4078;0;classic;2;2,5;,7;3,5;,7;8,75
4079;1;classic;2;4;0;3;0;12
4079;2;classic;0;;;;;
4079;0;classic;2;4;0;3;0;12
4072;1;classic;2;4;0;3;0;12
4072;2;classic;0;;;;;
4072;0;classic;2;4;0;3;0;12
4073;1;classic;2;4;0;3;0;12
4073;2;classic;0;;;;;
4073;0;classic;2;4;0;3;0;12
4075;1;classic;2;3,5;,7;3,5;,7;12,25
4075;2;classic;0;;;;;
4075;0;classic;2;3,5;,7;3,5;,7;12,25
4074;1;classic;2;4;0;3;0;12
4074;2;classic;0;;;;;
4074;0;classic;2;4;0;3;0;12
4071;1;classic;2;3,5;,7;3,5;,7;12,25
4071;2;classic;0;;;;;
4071;0;classic;2;3,5;,7;3,5;,7;12,25
4069;1;classic;2;3;1,4;3,5;,7;10,5
4069;2;classic;0;;;;;
4069;0;classic;2;3;1,4;3,5;,7;10,5
4067;1;classic;2;4;0;4;0;16
4067;2;classic;0;;;;;
4067;0;classic;2;4;0;4;0;16
4068;1;classic;2;2,5;,7;3;0;7,5
4068;2;classic;0;;;;;
4068;0;classic;2;2,5;,7;3;0;7,5
4066;1;classic;2;4;0;4;0;16
4066;2;classic;0;;;;;
4066;0;classic;2;4;0;4;0;16
4065;1;classic;2;3;1,4;3;1,4;9
4065;2;classic;0;;;;;
4065;0;classic;2;3;1,4;3;1,4;9
4070;1;classic;2;4;0;4;0;16
4070;2;classic;0;;;;;
4070;0;classic;2;4;0;4;0;16
4064;1;classic;2;2,5;,7;3;0;7,5
4064;2;classic;0;;;;;
4064;0;classic;2;2,5;,7;3;0;7,5
