ANS2SURV_ID;ANS2SURV_DURATION;IMPACT;OCCURRENCE;X1PCT;Y1PCT;X2PCT;Y2PCT;PROZAHL;RPZ;GRAPHIO;GRAPHRPZ;QUES2SURV_ID;Q2SID_PREV;Q2SID_NEXT;QUES2SURV_QUESID;QUES_ID;QUES_TEXT;QUES_TYP;QUES2SURV_SURVID;SURV_NAME;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;ANS2SURV_QUES2SURVID;ANS2SURV_ACC2SURVID;ANS2SURV_METHOD;MODIFIED;ACC2SURV_GROUPID;ACC2SURV_ACCID;ACC2SURV_FIRSTSTEP_DATE;ACC2SURV_MAILFIRST;ACC2SURV_MAILSECOND;ACC2SURV_ROLE;ACC_ADSUSER;ANS2SURV_ANSWERED;ANS2SURV_COMMENT;QUES_CAUSE;QUES_EFFECT
19635166;27;4;4;;;;;64;16;-1;-1;4089;4090;4088;982;982;[TE1] Auswirkung an angrenzende Bereiche (befinden sich daneben, darüber, darunter);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];12;classic;TE001;4089;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635170;16;3;3;;;;;36;9;-1;-1;4088;4089;4084;983;983;[TE1] Verbesserung der technischen Betriebssicherheit;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];13;classic;TE002;4088;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635178;14;2;3;;;;;24;6;-1;-1;4087;4084;4086;984;984;[TE2] Zusammenführung, Anbindung (BMA, GLT, FTS, Zutritt usw.) , Harmonisierung struktureller und technischer Standards und deren Auslegung (alt/neu) ==> Implementierung aktueller Haus- und Betriebstechnik;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];15;classic;TE004;4087;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635182;7;1;2;;;;;8;2;-1;-1;4086;4087;4085;985;985;[TE3] Fernwärme/Kälteversorgung für zukünftige Versorgung berücksichtigen (Neuverlegung, Trassenführung);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];16;classic;TE005;4086;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635186;11;3;3;;;;;36;9;-1;-1;4085;4086;0;986;986;[TE4] Kollektorgänge für zukünftige Erweiterungen vorbereitet (Onkozentrum);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];17;classic;TE006;4085;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635174;13;3;2;;;;;24;6;-1;-1;4084;4088;4087;987;987;[TE2] IT- und MT-Schnittstellenproblematiken zwischen den Einrichtungen werden nicht ausreichend berücksichtigt;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];14;classic;TE003;4084;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635122;22;5;4;;;;;80;20;-1;-1;4099;0;4100;988;988;[ÖU1] Integration ressourcenschonender Energienutzungsmodelle in die Projektplanung (Alternativenergie, Passivhausstandard, Kühlung/Energiespeicherung durch Grundwasser, Photovoltaik (z. B. in Fassade integrieren oder am Dach), Erdwärme, Sonnenschutz - starke Lamellen, Fassadenfarbe, Niedertemperatur Heiz-Kühlsystem (Baukernaktivierung,  usw.);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];1;classic;ÖU001;4099;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635126;12;3;3;;;;;36;9;-1;-1;4100;4099;4095;989;989;[ÖU6] unkontrollierter Wassereintritt;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];2;classic;ÖU002;4100;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19635162;17;3;3;;;;;36;9;-1;-1;4090;4092;4089;990;990;[RA1] Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];11;classic;RA001;4090;1809;classic;09.09.2025;1;22;;28.08.2025;;1;KUTEJA;1;;;
19629323;;;;;;;;;;-1;-1;4095;4100;4096;974;974;[PA1] Kommunikationsfehler mit ausführenden Auftragnehmern (Betriebsführung, Instandhaltung);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];3;classic;PA001;4095;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629324;;;;;;;;;;-1;-1;4096;4095;4098;975;975;[PA2] Ressourcenverfügbarkeit bei ausführenden Auftragnehmern nicht vorhanden;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];4;classic;PA002;4096;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629325;;;;;;;;;;-1;-1;4098;4096;4097;976;976;[PA4] Ausschreibung fehlerhaft;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];5;classic;PA003;4098;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629326;;;;;;;;;;-1;-1;4097;4098;4094;977;977;[PA8] Vorgegebene Laufzeiten und Fristen sind nicht berücksichtigt (Beschlussfassung Aufsichtsrat, Einreichung Landesrechnungshof, Ausschreibungsverfahren uvm.);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];6;classic;PA004;4097;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629327;;;;;;;;;;-1;-1;4094;4097;4091;978;978;[PF1] Folgekostenermittlung nicht transparent;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];7;classic;PF001;4094;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629329;;;;;;;;;;-1;-1;4093;4091;4092;979;979;[PF2] Betriebsorganisationskonzept nicht gelöst;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];9;classic;PF003;4093;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629328;;;;;;;;;;-1;-1;4091;4094;4093;980;980;[PF2] Baufeldfreimachung für zukünftige Projekte;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];8;classic;PF002;4091;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629330;;;;;;;;;;-1;-1;4092;4093;4090;981;981;[PF6] keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];10;classic;PF004;4092;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629332;;;;;;;;;;-1;-1;4089;4090;4088;982;982;[TE1] Auswirkung an angrenzende Bereiche (befinden sich daneben, darüber, darunter);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];12;classic;TE001;4089;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629333;;;;;;;;;;-1;-1;4088;4089;4084;983;983;[TE1] Verbesserung der technischen Betriebssicherheit;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];13;classic;TE002;4088;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629335;;;;;;;;;;-1;-1;4087;4084;4086;984;984;[TE2] Zusammenführung, Anbindung (BMA, GLT, FTS, Zutritt usw.) , Harmonisierung struktureller und technischer Standards und deren Auslegung (alt/neu) ==> Implementierung aktueller Haus- und Betriebstechnik;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];15;classic;TE004;4087;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629336;;;;;;;;;;-1;-1;4086;4087;4085;985;985;[TE3] Fernwärme/Kälteversorgung für zukünftige Versorgung berücksichtigen (Neuverlegung, Trassenführung);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];16;classic;TE005;4086;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629337;;;;;;;;;;-1;-1;4085;4086;0;986;986;[TE4] Kollektorgänge für zukünftige Erweiterungen vorbereitet (Onkozentrum);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];17;classic;TE006;4085;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629334;;;;;;;;;;-1;-1;4084;4088;4087;987;987;[TE2] IT- und MT-Schnittstellenproblematiken zwischen den Einrichtungen werden nicht ausreichend berücksichtigt;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];14;classic;TE003;4084;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629321;;;;;;;;;;-1;-1;4099;0;4100;988;988;[ÖU1] Integration ressourcenschonender Energienutzungsmodelle in die Projektplanung (Alternativenergie, Passivhausstandard, Kühlung/Energiespeicherung durch Grundwasser, Photovoltaik (z. B. in Fassade integrieren oder am Dach), Erdwärme, Sonnenschutz - starke Lamellen, Fassadenfarbe, Niedertemperatur Heiz-Kühlsystem (Baukernaktivierung,  usw.);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];1;classic;ÖU001;4099;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629322;;;;;;;;;;-1;-1;4100;4099;4095;989;989;[ÖU6] unkontrollierter Wassereintritt;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];2;classic;ÖU002;4100;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19629331;;;;;;;;;;-1;-1;4090;4092;4089;990;990;[RA1] Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];11;classic;RA001;4090;1810;classic;13.08.2025;1;41;;22.09.2025;;1;GLASAUERJ;0;;;
19630710;;;;;;;;;;-1;-1;4095;4100;4096;974;974;[PA1] Kommunikationsfehler mit ausführenden Auftragnehmern (Betriebsführung, Instandhaltung);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];3;classic;PA001;4095;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630712;;;;;;;;;;-1;-1;4096;4095;4098;975;975;[PA2] Ressourcenverfügbarkeit bei ausführenden Auftragnehmern nicht vorhanden;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];4;classic;PA002;4096;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630714;;;;;;;;;;-1;-1;4098;4096;4097;976;976;[PA4] Ausschreibung fehlerhaft;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];5;classic;PA003;4098;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630716;;;;;;;;;;-1;-1;4097;4098;4094;977;977;[PA8] Vorgegebene Laufzeiten und Fristen sind nicht berücksichtigt (Beschlussfassung Aufsichtsrat, Einreichung Landesrechnungshof, Ausschreibungsverfahren uvm.);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];6;classic;PA004;4097;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630718;;;;;;;;;;-1;-1;4094;4097;4091;978;978;[PF1] Folgekostenermittlung nicht transparent;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];7;classic;PF001;4094;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630722;;;;;;;;;;-1;-1;4093;4091;4092;979;979;[PF2] Betriebsorganisationskonzept nicht gelöst;Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];9;classic;PF003;4093;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630720;;;;;;;;;;-1;-1;4091;4094;4093;980;980;[PF2] Baufeldfreimachung für zukünftige Projekte;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];8;classic;PF002;4091;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630724;;;;;;;;;;-1;-1;4092;4093;4090;981;981;[PF6] keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];10;classic;PF004;4092;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630728;;;;;;;;;;-1;-1;4089;4090;4088;982;982;[TE1] Auswirkung an angrenzende Bereiche (befinden sich daneben, darüber, darunter);Risiko;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];12;classic;TE001;4089;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630730;;;;;;;;;;-1;-1;4088;4089;4084;983;983;[TE1] Verbesserung der technischen Betriebssicherheit;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];13;classic;TE002;4088;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630734;;;;;;;;;;-1;-1;4087;4084;4086;984;984;[TE2] Zusammenführung, Anbindung (BMA, GLT, FTS, Zutritt usw.) , Harmonisierung struktureller und technischer Standards und deren Auslegung (alt/neu) ==> Implementierung aktueller Haus- und Betriebstechnik;Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];15;classic;TE004;4087;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630736;;;;;;;;;;-1;-1;4086;4087;4085;985;985;[TE3] Fernwärme/Kälteversorgung für zukünftige Versorgung berücksichtigen (Neuverlegung, Trassenführung);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];16;classic;TE005;4086;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
19630738;;;;;;;;;;-1;-1;4085;4086;0;986;986;[TE4] Kollektorgänge für zukünftige Erweiterungen vorbereitet (Onkozentrum);Chance;307;E-CMZ Klinikum KL [Teil2 - WBM Fragen];17;classic;TE006;4085;1824;classic;28.08.2025;1;1081;;28.08.2025;;1;GFRERERG;0;;;
