QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4099;1;classic;3;4,3;,6;4;0;17,2
4099;2;classic;0;;;;;
4099;0;classic;3;4,3;,6;4;0;17,2
4100;1;classic;3;3,7;,6;3,3;,6;12,21
4100;2;classic;0;;;;;
4100;0;classic;3;3,7;,6;3,3;,6;12,21
4095;1;classic;3;3;1;3;0;9
4095;2;classic;0;;;;;
4095;0;classic;3;3;1;3;0;9
4096;1;classic;2;1,5;,7;3,5;,7;5,25
4096;2;classic;0;;;;;
4096;0;classic;2;1,5;,7;3,5;,7;5,25
4098;1;classic;2;3,5;,7;2,5;,7;8,75
4098;2;classic;0;;;;;
4098;0;classic;2;3,5;,7;2,5;,7;8,75
4097;1;classic;2;3;1,4;3,5;,7;10,5
4097;2;classic;0;;;;;
4097;0;classic;2;3;1,4;3,5;,7;10,5
4094;1;classic;2;2,5;,7;3;0;7,5
4094;2;classic;0;;;;;
4094;0;classic;2;2,5;,7;3;0;7,5
4091;1;classic;2;2,5;,7;3;0;7,5
4091;2;classic;0;;;;;
4091;0;classic;2;2,5;,7;3;0;7,5
4093;1;classic;2;2,5;,7;3;1,4;7,5
4093;2;classic;0;;;;;
4093;0;classic;2;2,5;,7;3;1,4;7,5
4092;1;classic;2;3;1,4;2,5;,7;7,5
4092;2;classic;0;;;;;
4092;0;classic;2;3;1,4;2,5;,7;7,5
4090;1;classic;2;2,5;,7;3;0;7,5
4090;2;classic;0;;;;;
4090;0;classic;2;2,5;,7;3;0;7,5
4089;1;classic;2;2,5;2,1;3,5;,7;8,75
4089;2;classic;0;;;;;
4089;0;classic;2;2,5;2,1;3,5;,7;8,75
4088;1;classic;2;3,5;,7;3;0;10,5
4088;2;classic;0;;;;;
4088;0;classic;2;3,5;,7;3;0;10,5
4084;1;classic;2;2,5;,7;2,5;,7;6,25
4084;2;classic;0;;;;;
4084;0;classic;2;2,5;,7;2,5;,7;6,25
4087;1;classic;1;2;0;3;0;6
4087;2;classic;0;;;;;
4087;0;classic;1;2;0;3;0;6
4086;1;classic;1;1;0;2;0;2
4086;2;classic;0;;;;;
4086;0;classic;1;1;0;2;0;2
4085;1;classic;1;3;0;3;0;9
4085;2;classic;0;;;;;
4085;0;classic;1;3;0;3;0;9
