QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
4194;8;1019;321;1;classic;BB001;1019;Risiko;[BB1] Kommunikationsfehler (Verständnisfehler) mit Nutzer;Risikofrage;Beteiligte, Betroffene;BB;;
4195;7;1021;321;2;classic;BB002;1021;Chance;[BB1] Nutzer sind ausreichend über das Projekt informiert;Chancenfrage;Beteiligte, Betroffene;BB;;
4196;7;1023;321;3;classic;BB003;1023;Chance;"[BB2] Nutzung der Erfahrung der Beteiligten aus den Fachbereichen; Fachbereichsmitarbeiter: innen zu Beteiligten machen und einbeziehen";Chancenfrage;Beteiligte, Betroffene;BB;;
4197;7;1020;321;4;classic;BB004;1020;Risiko;[BB2] Personalwechsel in Schlüsselpositionen intern in der KABEG;Risikofrage;Beteiligte, Betroffene;BB;;
4198;7;1022;321;5;classic;BB005;1022;Risiko;[BB3] Projektanforderungen ändern sich;Risikofrage;Beteiligte, Betroffene;BB;;
4199;7;1024;321;6;classic;BB006;1024;Risiko;[BB4] Abhängigkeiten der Projektumsetzung von Einzelpersonen;Risikofrage;Beteiligte, Betroffene;BB;;
4200;7;1025;321;7;classic;BB007;1025;Risiko;[BB5] veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit;Risikofrage;Beteiligte, Betroffene;BB;;
4201;7;1026;321;8;classic;BB008;1026;Risiko;[BB6] neue, überzogene (An-)Forderungen der Nutzer/Partner;Risikofrage;Beteiligte, Betroffene;BB;;
4202;7;1027;321;9;classic;BB009;1027;Risiko;[BB7] falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner;Risikofrage;Beteiligte, Betroffene;BB;;
4188;7;1002;321;10;classic;ÖU001;1002;Risiko;[ÖU1] Umwelteinflüsse können Projekt behindern oder beeinflussen;Risikofrage;Ökologie, Umwelt;ÖU;;
4190;6;1009;321;11;classic;ÖU002;1009;Chance;[ÖU2] Förderungen auf Grund der Neubausituation lukrieren;Chancenfrage;Ökologie, Umwelt;ÖU;;
4189;7;1003;321;12;classic;ÖU003;1003;Risiko;[ÖU2] Lärm- und Staubbelästigung während der Bauphase und somit Einfluss auf die Patient: innen und Mitarbeiter: innen in den umliegenden Gebäude(-teile) ==> Nähe Notfallaufnahme ==> zentraler Verkehrsknotenpunkt;Risikofrage;Ökologie, Umwelt;ÖU;;
4191;7;1006;321;13;classic;ÖU004;1006;Risiko;[ÖU4] Verunreinigung angrenzender Gebäude;Risikofrage;Ökologie, Umwelt;ÖU;;
4207;7;1034;321;14;classic;PA001;1034;Risiko;[PA3] Planung ungenau oder nicht vollständig;Risikofrage;Projektablauf;PA;;
4208;7;1036;321;15;classic;PA002;1036;Risiko;[PA5] Projektdokumentation nicht vollständig bzw. nicht vorhanden;Risikofrage;Projektablauf;PA;;
4209;7;1037;321;16;classic;PA003;1037;Risiko;[PA6] Übergabedokumentation nicht vollständig bzw. nicht vorhanden;Risikofrage;Projektablauf;PA;;
4210;7;1038;321;17;classic;PA004;1038;Risiko;[PA7] Lange Projektdauer;Risikofrage;Projektablauf;PA;;
4211;7;1040;321;18;classic;PA005;1040;Risiko;[PA9] verzögerte Freigabe von Planungsschritten und Genehmigungschritten;Risikofrage;Projektablauf;PA;;
4212;6;1046;321;19;classic;PF001;1046;Chance;[PF1] Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen;Chancenfrage;Projektfolgen;PF;;
