QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4194;1;classic;8;3;,5;3,3;,5;9,9
4194;2;classic;0;;;;;
4194;0;classic;8;3;,5;3,3;,5;9,9
4195;1;classic;7;3,6;1;4,1;,4;14,76
4195;2;classic;0;;;;;
4195;0;classic;7;3,6;1;4,1;,4;14,76
4196;1;classic;7;3,9;,9;3,9;,4;15,21
4196;2;classic;0;;;;;
4193;0;classic;7;3,3;,8;2,6;,5;8,58
4216;1;classic;6;4;1,1;4;1,1;16
4216;2;classic;0;;;;;
4216;0;classic;6;4;1,1;4;1,1;16
4217;1;classic;7;3,7;1,3;3,9;1,1;14,43
4217;2;classic;0;;;;;
4217;0;classic;7;3,7;1,3;3,9;1,1;14,43
4218;1;classic;6;3,8;1;3,7;,5;14,06
4218;2;classic;0;;;;;
4218;0;classic;6;3,8;1;3,7;,5;14,06
4196;0;classic;7;3,9;,9;3,9;,4;15,21
4197;1;classic;7;2,9;,7;3,9;,4;11,31
4197;2;classic;0;;;;;
4197;0;classic;7;2,9;,7;3,9;,4;11,31
4198;1;classic;7;3,7;,5;3,3;,5;12,21
4198;2;classic;0;;;;;
4198;0;classic;7;3,7;,5;3,3;,5;12,21
4199;1;classic;7;3,6;,8;3,4;,5;12,24
4199;2;classic;0;;;;;
4199;0;classic;7;3,6;,8;3,4;,5;12,24
4200;1;classic;7;3,1;,9;3,4;,5;10,54
4200;2;classic;0;;;;;
4200;0;classic;7;3,1;,9;3,4;,5;10,54
4201;1;classic;7;3;1;3,3;1,1;9,9
4201;2;classic;0;;;;;
4201;0;classic;7;3;1;3,3;1,1;9,9
4202;1;classic;7;3,1;1,1;3;,8;9,3
4202;2;classic;0;;;;;
4202;0;classic;7;3,1;1,1;3;,8;9,3
4188;1;classic;7;3,1;1,5;2,7;,5;8,37
4188;2;classic;0;;;;;
4188;0;classic;7;3,1;1,5;2,7;,5;8,37
4190;1;classic;6;3,8;1;3,2;1;12,16
4190;2;classic;0;;;;;
4190;0;classic;6;3,8;1;3,2;1;12,16
4189;1;classic;7;3,3;1;3,7;,8;12,21
4189;2;classic;0;;;;;
4189;0;classic;7;3,3;1;3,7;,8;12,21
4191;1;classic;7;2,9;,4;3,4;1;9,86
4191;2;classic;0;;;;;
4191;0;classic;7;2,9;,4;3,4;1;9,86
4207;1;classic;7;3,4;1;2,6;,8;8,84
4207;2;classic;0;;;;;
4207;0;classic;7;3,4;1;2,6;,8;8,84
4208;1;classic;7;3,1;1,1;2,7;1,1;8,37
4208;2;classic;0;;;;;
4208;0;classic;7;3,1;1,1;2,7;1,1;8,37
4209;1;classic;7;3;1;2,9;,7;8,7
4209;2;classic;0;;;;;
4209;0;classic;7;3;1;2,9;,7;8,7
4210;1;classic;7;3;,6;3,7;1;11,1
4210;2;classic;0;;;;;
4210;0;classic;7;3;,6;3,7;1;11,1
4211;1;classic;7;3,3;,5;3,7;,5;12,21
4211;2;classic;0;;;;;
4211;0;classic;7;3,3;,5;3,7;,5;12,21
4212;1;classic;6;3,2;1,2;3,2;1,2;10,24
4212;2;classic;0;;;;;
4212;0;classic;6;3,2;1,2;3,2;1,2;10,24
4213;1;classic;6;3,2;1,5;3,3;1,4;10,56
4213;2;classic;0;;;;;
4213;0;classic;6;3,2;1,5;3,3;1,4;10,56
4214;1;classic;7;3,3;,8;3,3;,8;10,89
4214;2;classic;0;;;;;
4214;0;classic;7;3,3;,8;3,3;,8;10,89
4215;1;classic;7;2,9;,7;3,6;,5;10,44
4215;2;classic;0;;;;;
4215;0;classic;7;2,9;,7;3,6;,5;10,44
4203;1;classic;7;3,3;,8;3,7;,5;12,21
4203;2;classic;0;;;;;
4203;0;classic;7;3,3;,8;3,7;,5;12,21
4204;1;classic;7;2,7;1,1;3,1;1,1;8,37
4204;2;classic;0;;;;;
4204;0;classic;7;2,7;1,1;3,1;1,1;8,37
4205;1;classic;7;3;,8;3;,6;9
4205;2;classic;0;;;;;
4205;0;classic;7;3;,8;3;,6;9
4206;1;classic;7;3;,8;3,6;,5;10,8
4206;2;classic;0;;;;;
4206;0;classic;7;3;,8;3,6;,5;10,8
4181;1;classic;7;4;1;4,1;,7;16,4
4181;2;classic;0;;;;;
4181;0;classic;7;4;1;4,1;,7;16,4
4182;1;classic;7;3,1;1,1;3,4;,5;10,54
4182;2;classic;0;;;;;
4182;0;classic;7;3,1;1,1;3,4;,5;10,54
4183;1;classic;7;3,1;,7;3,7;1;11,47
4183;2;classic;0;;;;;
4183;0;classic;7;3,1;,7;3,7;1;11,47
4185;1;classic;7;3,7;1,3;3,6;1,5;13,32
4185;2;classic;0;;;;;
4185;0;classic;7;3,7;1,3;3,6;1,5;13,32
4184;1;classic;7;3,1;1,3;2,6;1,3;8,06
4184;2;classic;0;;;;;
4184;0;classic;7;3,1;1,3;2,6;1,3;8,06
4186;1;classic;7;3;,8;3,4;,5;10,2
4186;2;classic;0;;;;;
4186;0;classic;7;3;,8;3,4;,5;10,2
4187;1;classic;7;3,6;1;3,1;1,1;11,16
4187;2;classic;0;;;;;
4187;0;classic;7;3,6;1;3,1;1,1;11,16
4192;1;classic;7;3,4;1;3,1;,7;10,54
4192;2;classic;0;;;;;
4192;0;classic;7;3,4;1;3,1;,7;10,54
4193;1;classic;7;3,3;,8;2,6;,5;8,58
4193;2;classic;0;;;;;
