"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyIPercent","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID","scaled_IMPACT","scaled_OCCURRENCE","scaled_X1","scaled_X2","scaled_Y1","scaled_Y2","scaled_uncertainty_X","scaled_uncertainty_Y","scaled_uncertainty_XY","scaled_uncertainty_AREA","scaled_uncertainty_PERIMETER","scaled_uncertainty_middle_X","scaled_uncertainty_middle_Y"
"1",1,1,1,NA,1,1,"0","0","20","20",NA,NA,NA,NA,NA,NA,NA,401,401,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU1",NA,NA,"classic","",1,"","","",1,1,"","","",0,80,0,80,"Grid11",1,2,1,2,TRUE,TRUE,NA,80,80,20,20,6400,320,160,40,40,1,1,"Grid11",10,10,0,20,0,20,20,20,40,400,80,10,10
"3",1,1,3,NA,2,3,"40","40","60","60",NA,NA,NA,NA,NA,NA,NA,402,402,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU2",NA,NA,"classic","",1,"","","",1,1,"","","",160,240,160,240,"Grid32",3,4,3,4,TRUE,FALSE,NA,80,80,20,20,6400,320,160,200,200,3,3,"Grid33",30,50,40,60,40,60,20,20,40,400,80,50,50
"5",1,1,5,NA,1,1,"0","0","20","20",NA,NA,NA,NA,NA,NA,NA,403,403,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU3",NA,NA,"classic","",1,"","","",1,1,"","","",0,80,0,80,"Grid11",1,2,1,2,TRUE,TRUE,NA,80,80,20,20,6400,320,160,40,40,1,1,"Grid11",10,10,0,20,0,20,20,20,40,400,80,10,10
"7",2,2,7,NA,1,5,"0","80","20","100",NA,NA,NA,NA,NA,NA,NA,401,401,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU1",NA,NA,"classic","",2,"","","",2,1,"","","",0,80,320,400,"Grid51",1,2,5,5,TRUE,TRUE,NA,80,80,20,20,6400,320,160,40,360,1,5,"Grid51",10,90,0,20,80,100,20,20,40,400,80,10,90
"9",2,2,9,NA,3,3,"40","20","60","40",NA,NA,NA,NA,NA,NA,NA,402,402,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU2",NA,NA,"classic","",2,"","","",2,1,"","","",160,240,80,160,"Grid33",3,4,2,3,TRUE,TRUE,NA,80,80,20,20,6400,320,160,200,120,3,2,"Grid23",50,50,40,60,20,40,20,20,40,400,80,50,30
"11",2,2,11,NA,2,2,"20","20","40","40",NA,NA,NA,NA,NA,NA,NA,403,403,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU3",NA,NA,"classic","",2,"","","",2,1,"","","",80,160,80,160,"Grid22",2,3,2,3,TRUE,TRUE,NA,80,80,20,20,6400,320,160,120,120,2,2,"Grid22",30,30,20,40,20,40,20,20,40,400,80,30,30
"13",3,3,13,NA,4,4,"80","50","100","100",NA,NA,NA,NA,NA,NA,NA,401,401,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU1",NA,NA,"classic","",1,"","","",1,1,"","","",320,400,200,400,"Grid44",5,5,3,5,TRUE,FALSE,NA,80,200,20,50,16000,560,280,360,300,5,4,"Grid45",70,70,80,100,50,100,20,50,70,1000,140,90,75
"15",3,3,15,NA,4,3,"80","10","90","20",NA,NA,NA,NA,NA,NA,NA,402,402,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU2",NA,NA,"classic","",1,"","","",1,1,"","","",320,360,40,80,"Grid34",5,5,1,2,FALSE,FALSE,NA,40,40,10,10,1600,160,80,340,60,5,1,"Grid15",70,50,80,90,10,20,10,10,20,100,40,85,15
"17",3,3,17,NA,3,3,"40","40","60","60",NA,NA,NA,NA,NA,NA,NA,403,403,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU3",NA,NA,"classic","",1,"","","",1,1,"","","",160,240,160,240,"Grid33",3,4,3,4,TRUE,TRUE,NA,80,80,20,20,6400,320,160,200,200,3,3,"Grid33",50,50,40,60,40,60,20,20,40,400,80,50,50
"19",4,4,19,NA,4,4,"60","60","80","80",NA,NA,NA,NA,NA,NA,NA,403,403,"","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",NA,"classic","MU3",NA,NA,"classic","",2,"","","",2,1,"","","",240,320,240,320,"Grid44",4,5,4,5,TRUE,TRUE,NA,80,80,20,20,6400,320,160,280,280,4,4,"Grid44",70,70,60,80,60,80,20,20,40,400,80,70,70
