"","ACCID","group","answers","i_Median_classic","o_Median_classic","i_Mean_classic","o_Mean_classic","i_SD_classic","o_SD_classic","i_Median_graphic","o_Median_graphic","i_Mean_graphic","o_Mean_graphic","i_SD_graphic","o_SD_graphic"
"1","all","1&2",5866,70,50,62.48,56.6,18.37,20.86,62.5,50.75,60.49,50.6,22.56,24.31
"2","coreteam","1",2355,70,70,60,57.69,19.29,21.06,61.75,50.75,60.57,50.68,22.46,24.64
"3","noncoreteam","2",3511,70,50,64.14,55.87,17.52,20.7,62.75,50.5,60.44,50.54,22.63,24.07
"4","346","1",32,50,50,46.88,61.25,14.47,18.27,53.25,50.62,54.57,53.55,21.94,26.19
"5","41","2",80,70,50,65.5,56.75,20.12,19.08,61.25,54.25,60.42,54.97,23.84,22.02
"6","378","1",47,50,50,59.79,48.72,16.08,16.37,58,53,57.96,53.74,21.94,21.77
"7","331","1",86,70,70,63.02,60.23,17.02,19.34,59.5,52.75,59.9,53.79,21.48,22.37
"8","343","1",60,70,50,60,49,20.67,23.98,59.25,51.5,58.97,51.68,22.92,24.23
"9","351","1",84,70,70,61.9,62.86,10.81,15.72,60.5,52.25,59.58,52.2,22.33,23.52
"10","373","1",86,70,70,63.02,62.79,11.79,11.85,63.5,53.75,62.12,53.86,22.94,24.45
"11","340","1",62,50,50,48.06,53.55,15.66,21.58,62.25,53,61.58,53.09,23.21,25.21
"12","368","1",86,70,70,70.93,61.16,14.03,12.5,63.5,53,62.2,53.1,22.97,25.21
"13","341","1",81,50,70,54.94,72.72,17.47,16.05,63.75,53.25,62.43,53.37,22.92,25.23
"14","364","1",86,30,50,39.3,59.53,11.76,13.28,59.5,53,59.68,53.25,22.06,23.67
"15","329","1",86,70,70,69.77,59.3,12.08,14.62,60.25,52.75,60.26,53,21.99,23.3
"16","332","1",86,70,70,66.51,62.79,17.13,20.79,61.75,53.25,61.17,53.56,21.84,23.3
"17","345","1",76,50,50,48.68,50.79,19.69,24.75,60.75,52.75,60.25,53.18,21.84,23.58
"18","358","1",45,50,50,54.89,50.89,24.55,26.27,60.75,53,60.24,53.46,22.03,23.67
"19","337","1",82,70,50,66.34,50.24,16.96,17.91,61.25,52.5,60.57,53,21.76,23.57
"20","334","1",61,50,50,51.64,56.23,14.74,13.92,61.25,52.5,60.66,52.93,21.62,23.44
"21","359","1",86,50,50,62.33,56.51,17.4,18,61.5,52,60.84,52.61,21.49,23.51
"22","22","1",86,70,70,62.33,61.63,16.28,19.99,61.25,52.5,60.78,52.99,21.32,23.58
"23","403","2",86,70,70,68.6,73.95,15.27,15.28,61.75,52.5,61.05,53.13,21.37,23.59
"24","338","1",71,70,50,65.77,54.79,13.49,16.38,62,52.25,61.39,52.74,21.23,23.46
"25","324","1",74,70,10,65.95,31.89,18.43,28.32,62.5,51.5,61.56,51.73,21.43,24.06
"26","441","2",80,70,50,67,46.25,15.62,24.46,62,51.25,61.07,51.45,21.48,24.19
"27","421","2",86,70,50,70,43.49,16.8,25.57,62.25,51,61.22,51.11,21.56,24.5
"28","486","2",71,70,50,63.8,57.04,13.35,15.53,62.25,50.75,61.26,51.07,21.58,24.45
"29","485","2",82,70,70,63.17,64.63,12.26,13.72,63.5,50.75,62.04,51.03,21.53,24.49
"30","487","2",83,70,50,67.35,56.51,13.53,19.28,63.75,51,62.27,51.25,21.53,24.45
"31","461","2",86,70,50,63.02,49.53,16.17,22.33,63.75,50.75,62.3,51.24,21.38,24.47
"32","369","1",77,70,50,63.25,57.53,16.1,16.56,63.75,51,62.31,51.34,21.31,24.33
"33","481","2",84,70,70,69.52,59.76,17,20,64.25,51.25,62.64,51.57,21.33,24.31
"34","501","2",86,70,50,63.26,52.79,20.94,18.19,64.5,51.25,62.79,51.72,21.29,24.26
