"","scenario","type","group","method","impact_Median","impact_StandardDeviation","impact_Mean","impact_FirstQuartile","impact_ThirdQuartile","impact_InterquartileRange","impact_Minimum","impact_Maximum","impact_Range","occurrence_Median","occurrence_StandardDeviation","occurrence_Mean","occurrence_FirstQuartile","occurrence_ThirdQuartile","occurrence_InterquartileRange","occurrence_Minimum","occurrence_Maximum","occurrence_Range"
"1","281","Risiko","all","classic",50,17.93,48.29,30,50,20,10,90,80,60,20.15,57.14,50,70,20,10,90,80
"2","281","Risiko","all","graphic center to grid",50,23.57,55.43,50,70,20,10,90,80,50,25,48.86,30,70,40,10,90,80
"3","281","Risiko","all","graphic center",55.94,22.43,55.14,41.81,69.53,27.72,13.62,93.88,80.25,48.81,24.07,48.27,27.56,66.16,38.59,3.88,92.88,89
"4","281","Risiko","all","graphic grid reached",50,24.08,53.29,30,70,40,10,90,80,50,24.25,47.09,30,70,40,10,90,80
"5","281","Risiko","all","graphic areas",55.75,23.1,53.98,37.25,71,33.75,0.25,100,99.75,48,23.73,48.86,30.25,68,37.75,0.75,99.75,99
"6","281","Risiko","all","weighted",56.75,22.91,54.88,38.5,71.75,33.25,0.25,100,99.75,47.75,23.88,48.36,28.75,67.5,38.75,0.75,99.75,99
"7","281","Risiko","all","pooling ",55.19,0.24,55.19,55.03,55.35,0.32,54.47,55.91,1.44,48.33,0.14,48.33,48.23,48.43,0.19,47.9,48.76,0.86
"8","282","Risiko","all","classic",70,19.57,59.72,50,70,20,10,90,80,50,22.68,53.89,50,70,20,10,90,80
"9","282","Risiko","all","graphic center to grid",70,21.43,61.67,50,70,20,10,90,80,50,24.44,50,30,70,40,10,90,80
"10","282","Risiko","all","graphic center",64.81,20.45,61.59,48.12,77.75,29.62,14.5,92.38,77.88,48.88,24.12,49.71,33.69,70.91,37.22,8.12,91.5,83.38
"11","282","Risiko","all","graphic grid reached",70,23.7,58.35,50,70,20,10,90,80,50,25.09,48.61,30,70,40,10,90,80
"12","282","Risiko","all","graphic areas",60.5,22.57,58.15,41.5,76,34.5,2,99.75,97.75,47.75,23.3,48.22,30.75,65.25,34.5,0,96,96
"13","282","Risiko","all","weighted",62.75,22.45,59.79,43.5,77.5,34,2,99.75,97.75,48.25,23.52,48.98,31.25,66.75,35.5,0,96,96
"14","282","Risiko","all","pooling ",67.31,0.25,67.31,67.14,67.48,0.34,66.56,68.06,1.5,48.24,0.16,48.24,48.14,48.35,0.21,47.78,48.71,0.93
"15","283","Risiko","all","classic",70,17.26,62.5,50,70,20,10,90,80,50,18.17,57.22,50,70,20,10,90,80
"16","283","Risiko","all","graphic center to grid",70,19.63,61.27,50,70,20,10,90,80,50,22.76,49.44,30,70,40,10,90,80
"17","283","Risiko","all","graphic center",58.56,18.71,61.93,50.25,77.31,27.06,18.75,95.5,76.75,48.38,22.4,49.25,32.53,63.56,31.03,8.62,93.75,85.12
"18","283","Risiko","all","graphic grid reached",70,23.24,59.06,50,70,20,10,90,80,50,23.27,48.43,30,70,40,10,90,80
"19","283","Risiko","all","graphic areas",60.75,21.85,59.33,43.25,76.5,33.25,1.5,100,98.5,46.25,21.64,47.04,31.5,60.5,29,1.5,98.25,96.75
"20","283","Risiko","all","weighted",63,20.42,61.51,46,77.5,31.5,1.5,100,98.5,46.5,21.76,47.32,31.5,61,29.5,1.5,98.25,96.75
"21","283","Risiko","all","pooling ",67.58,0.24,67.58,67.42,67.73,0.32,66.87,68.28,1.41,60.23,0.16,60.23,60.12,60.34,0.22,59.75,60.71,0.96
"22","284","Risiko","all","classic",70,17.79,62.29,50,70,20,10,90,80,50,21.44,53.14,50,70,20,10,90,80
"23","284","Risiko","all","graphic center to grid",70,21.44,61.14,50,70,20,10,90,80,50,26.47,45.14,30,70,40,10,90,80
"24","284","Risiko","all","graphic center",68.31,19.76,61.17,47.47,76.72,29.25,8.75,93.5,84.75,45.12,25.42,45.42,22.06,65,42.94,6.88,94.5,87.62
"25","284","Risiko","all","graphic grid reached",70,23.34,58.8,50,70,20,10,90,80,50,24.73,44.75,30,70,40,10,90,80
"26","284","Risiko","all","graphic areas",62.5,22.75,59.78,42.75,77.94,35.19,1.75,100,98.25,44.75,25.17,46.18,24.44,65.5,41.06,0,99.25,99.25
"27","284","Risiko","all","weighted",64.5,21.84,61.11,44.5,78.25,33.75,1.75,100,98.25,44.5,25.2,45.94,24,65,41,0,99.25,99.25
"28","284","Risiko","all","pooling ",69.3,0.25,69.3,69.14,69.47,0.33,68.56,70.04,1.47,51.08,0.16,51.08,50.97,51.19,0.22,50.59,51.56,0.97
"29","285","Risiko","all","classic",70,15.7,61.83,50,70,20,30,90,60,70,16.67,66.34,70,70,0,10,90,80
"30","285","Risiko","all","graphic center to grid",50,22.25,59.14,50,70,20,10,90,80,70,25.21,56.2,30,70,40,10,90,80
"31","285","Risiko","all","graphic center",56.12,21.27,58.12,42.19,78.5,36.31,17,91.5,74.5,60.75,24.19,56.29,38.75,76.88,38.12,5.12,96,90.88
"32","285","Risiko","all","graphic grid reached",50,24.16,55,30,70,40,10,90,80,70,24.94,56.84,30,70,40,10,90,80
"33","285","Risiko","all","graphic areas",53,23.4,53.52,35.75,72.5,36.75,0.75,100,99.25,59.5,23.67,56.08,41.5,74.75,33.25,1,98.5,97.5
"34","285","Risiko","all","weighted",54.75,22.89,55.84,38.5,75.75,37.25,0.75,100,99.25,60,23.68,56.68,42.25,75.5,33.25,1,98.5,97.5
"35","285","Risiko","all","pooling ",68.57,0.23,68.57,68.42,68.73,0.31,67.88,69.26,1.37,60.53,0.16,60.53,60.42,60.64,0.22,60.05,61.02,0.97
"36","286","Risiko","all","classic",50,18.36,50.62,30,70,40,10,90,80,70,19,66.31,50,70,20,10,90,80
"37","286","Risiko","all","graphic center to grid",50,23,48.46,30,50,20,10,90,80,70,22.92,65.08,50,90,40,10,90,80
"38","286","Risiko","all","graphic center",48.38,22.75,48.75,32.75,59.12,26.38,10.62,92.5,81.88,64.25,21.8,64.14,49.5,83,33.5,9.12,97.25,88.12
"39","286","Risiko","all","graphic grid reached",50,24.89,48.18,30,70,40,10,90,80,70,22.11,63.96,50,90,40,10,90,80
"40","286","Risiko","all","graphic areas",45.5,23.48,46.57,28.25,61.75,33.5,0,99.25,99.25,67.5,21.91,64.34,50.25,82.75,32.5,1.25,100,98.75
"41","286","Risiko","all","weighted",46,23.3,46.86,29,61,32,0,99.25,99.25,68.5,21.01,65.64,51,83.25,32.25,1.25,100,98.75
"42","286","Risiko","all","pooling ",49.8,0.23,49.8,49.64,49.95,0.32,49.09,50.5,1.4,69.74,0.16,69.74,69.63,69.85,0.21,69.26,70.22,0.95
"43","287","Chance","all","classic",70,17.39,73.33,70,90,20,10,90,80,70,16.65,72.42,70,90,20,10,90,80
"44","287","Chance","all","graphic center to grid",70,21.87,71.21,50,90,40,10,90,80,70,23.48,67.85,50,90,40,10,90,80
"45","287","Chance","all","graphic center",79.62,20.5,70.69,53.75,86.56,32.81,9.12,95.75,86.62,71.81,23.3,65.39,49.06,84.97,35.91,11.12,94.88,83.75
