"","scenario","type","method1","method2","distance"
"1","281","IMPACT","classic","area",0.3761
"2","281","OCCURRENCE","classic","area",0.3274
"3","281","IMPACT","classic","center",0.4286
"4","281","OCCURRENCE","classic","center",0.3286
"5","281","IMPACT","classic","centertogrid",0.2143
"6","281","OCCURRENCE","classic","centertogrid",0.1857
"7","281","IMPACT","classic","reachedgrid",0.2068
"8","281","OCCURRENCE","classic","reachedgrid",0.2094
"9","281","IMPACT","classic","weighted",0.3974
"10","281","OCCURRENCE","classic","weighted",0.3348
"11","281","IMPACT","classic","pooling",0.7857
"12","281","OCCURRENCE","classic","pooling",0.8
"13","281","IMPACT","area","center",0.0957
"14","281","OCCURRENCE","area","center",0.0505
"15","281","IMPACT","area","centertogrid",0.1664
"16","281","OCCURRENCE","area","centertogrid",0.1989
"17","281","IMPACT","area","reachedgrid",0.1693
"18","281","OCCURRENCE","area","reachedgrid",0.1774
"19","281","IMPACT","area","weighted",0.0216
"20","281","OCCURRENCE","area","weighted",0.0108
"21","281","IMPACT","area","pooling",0.5118
"22","281","OCCURRENCE","area","pooling",0.5037
"23","281","IMPACT","center","centertogrid",0.2143
"24","281","OCCURRENCE","center","centertogrid",0.2
"25","281","IMPACT","center","reachedgrid",0.2218
"26","281","OCCURRENCE","center","reachedgrid",0.1808
"27","281","IMPACT","center","weighted",0.0741
"28","281","OCCURRENCE","center","weighted",0.0438
"29","281","IMPACT","center","pooling",0.5143
"30","281","OCCURRENCE","center","pooling",0.5143
"31","281","IMPACT","centertogrid","reachedgrid",0.0532
"32","281","OCCURRENCE","centertogrid","reachedgrid",0.0646
"33","281","IMPACT","centertogrid","weighted",0.1831
"34","281","OCCURRENCE","centertogrid","weighted",0.2062
"35","281","IMPACT","centertogrid","pooling",0.5714
"36","281","OCCURRENCE","centertogrid","pooling",0.6714
"37","281","IMPACT","reachedgrid","weighted",0.1906
"38","281","OCCURRENCE","reachedgrid","weighted",0.1698
"39","281","IMPACT","reachedgrid","pooling",0.5789
"40","281","OCCURRENCE","reachedgrid","pooling",0.6068
"41","281","IMPACT","weighted","pooling",0.5307
"42","281","OCCURRENCE","weighted","pooling",0.5107
"43","282","IMPACT","classic","area",0.2025
"44","282","OCCURRENCE","classic","area",0.3075
"45","282","IMPACT","classic","center",0.2083
"46","282","OCCURRENCE","classic","center",0.3194
"47","282","IMPACT","classic","centertogrid",0.0694
"48","282","OCCURRENCE","classic","centertogrid",0.0972
"49","282","IMPACT","classic","reachedgrid",0.0814
"50","282","OCCURRENCE","classic","reachedgrid",0.1291
"51","282","IMPACT","classic","weighted",0.2306
"52","282","OCCURRENCE","classic","weighted",0.2988
"53","282","IMPACT","classic","pooling",0.5278
"54","282","OCCURRENCE","classic","pooling",0.7639
"55","282","IMPACT","area","center",0.1071
"56","282","OCCURRENCE","area","center",0.0729
"57","282","IMPACT","area","centertogrid",0.2237
"58","282","OCCURRENCE","area","centertogrid",0.2103
"59","282","IMPACT","area","reachedgrid",0.1733
"60","282","OCCURRENCE","area","reachedgrid",0.1784
"61","282","IMPACT","area","weighted",0.0333
"62","282","OCCURRENCE","area","weighted",0.0156
"63","282","IMPACT","area","pooling",0.6103
"64","282","OCCURRENCE","area","pooling",0.5059
"65","282","IMPACT","center","centertogrid",0.2083
"66","282","OCCURRENCE","center","centertogrid",0.2222
"67","282","IMPACT","center","reachedgrid",0.2171
"68","282","OCCURRENCE","center","reachedgrid",0.1903
"69","282","IMPACT","center","weighted",0.0833
"70","282","OCCURRENCE","center","weighted",0.0575
"71","282","IMPACT","center","pooling",0.5417
"72","282","OCCURRENCE","center","pooling",0.5278
"73","282","IMPACT","centertogrid","reachedgrid",0.0814
"74","282","OCCURRENCE","centertogrid","reachedgrid",0.0319
"75","282","IMPACT","centertogrid","weighted",0.1954
"76","282","OCCURRENCE","centertogrid","weighted",0.2016
"77","282","IMPACT","centertogrid","pooling",0.5694
"78","282","OCCURRENCE","centertogrid","pooling",0.6667
"79","282","IMPACT","reachedgrid","weighted",0.167
"80","282","OCCURRENCE","reachedgrid","weighted",0.1697
"81","282","IMPACT","reachedgrid","pooling",0.519
"82","282","OCCURRENCE","reachedgrid","pooling",0.6348
"83","282","IMPACT","weighted","pooling",0.5797
"84","282","OCCURRENCE","weighted","pooling",0.5048
"85","283","IMPACT","classic","area",0.2494
"86","283","OCCURRENCE","classic","area",0.4405
"87","283","IMPACT","classic","center",0.25
"88","283","OCCURRENCE","classic","center",0.4167
"89","283","IMPACT","classic","centertogrid",0.1041
"90","283","OCCURRENCE","classic","centertogrid",0.1944
"91","283","IMPACT","classic","reachedgrid",0.1229
"92","283","OCCURRENCE","classic","reachedgrid",0.2263
"93","283","IMPACT","classic","weighted",0.257
"94","283","OCCURRENCE","classic","weighted",0.438
"95","283","IMPACT","classic","pooling",0.6111
"96","283","OCCURRENCE","classic","pooling",0.5278
"97","283","IMPACT","area","center",0.105
"98","283","OCCURRENCE","area","center",0.099
"99","283","IMPACT","area","centertogrid",0.2163
"100","283","OCCURRENCE","area","centertogrid",0.246
"101","283","IMPACT","area","reachedgrid",0.154
"102","283","OCCURRENCE","area","reachedgrid",0.2141
"103","283","IMPACT","area","weighted",0.0394
"104","283","OCCURRENCE","area","weighted",0.0055
"105","283","IMPACT","area","pooling",0.5999
"106","283","OCCURRENCE","area","pooling",0.7449
"107","283","IMPACT","center","centertogrid",0.243
"108","283","OCCURRENCE","center","centertogrid",0.2222
"109","283","IMPACT","center","reachedgrid",0.2343
"110","283","OCCURRENCE","center","reachedgrid",0.1903
"111","283","IMPACT","center","weighted",0.0832
"112","283","OCCURRENCE","center","weighted",0.0946
"113","283","IMPACT","center","pooling",0.5833
"114","283","OCCURRENCE","center","pooling",0.7222
"115","283","IMPACT","centertogrid","reachedgrid",0.0934
"116","283","OCCURRENCE","centertogrid","reachedgrid",0.0319
"117","283","IMPACT","centertogrid","weighted",0.1848
"118","283","OCCURRENCE","centertogrid","weighted",0.2436
"119","283","IMPACT","centertogrid","pooling",0.507
"120","283","OCCURRENCE","centertogrid","pooling",0.7222
"121","283","IMPACT","reachedgrid","weighted",0.1734
"122","283","OCCURRENCE","reachedgrid","weighted",0.2117
"123","283","IMPACT","reachedgrid","pooling",0.5157
"124","283","OCCURRENCE","reachedgrid","pooling",0.6957
"125","283","IMPACT","weighted","pooling",0.5731
"126","283","OCCURRENCE","weighted","pooling",0.7419
"127","284","IMPACT","classic","area",0.2426
"128","284","OCCURRENCE","classic","area",0.3524
"129","284","IMPACT","classic","center",0.2857
"130","284","OCCURRENCE","classic","center",0.3714
"131","284","IMPACT","classic","centertogrid",0.0714
"132","284","OCCURRENCE","classic","centertogrid",0.2143
"133","284","IMPACT","classic","reachedgrid",0.1267
"134","284","OCCURRENCE","classic","reachedgrid",0.2121
"135","284","IMPACT","classic","weighted",0.2601
"136","284","OCCURRENCE","classic","weighted",0.3575
"137","284","IMPACT","classic","pooling",0.5857
"138","284","OCCURRENCE","classic","pooling",0.6286
"139","284","IMPACT","area","center",0.0944
"140","284","OCCURRENCE","area","center",0.0691
"141","284","IMPACT","area","centertogrid",0.1948
"142","284","OCCURRENCE","area","centertogrid",0.1755
"143","284","IMPACT","area","reachedgrid",0.1788
"144","284","OCCURRENCE","area","reachedgrid",0.1418
"145","284","IMPACT","area","weighted",0.0252
"146","284","OCCURRENCE","area","weighted",0.0064
"147","284","IMPACT","area","pooling",0.6011
"148","284","OCCURRENCE","area","pooling",0.5998
"149","284","IMPACT","center","centertogrid",0.2143
"150","284","OCCURRENCE","center","centertogrid",0.1857
"151","284","IMPACT","center","reachedgrid",0.2219
"152","284","OCCURRENCE","center","reachedgrid",0.1593
"153","284","IMPACT","center","weighted",0.0887
"154","284","OCCURRENCE","center","weighted",0.0648
"155","284","IMPACT","center","pooling",0.5429
"156","284","OCCURRENCE","center","pooling",0.6143
"157","284","IMPACT","centertogrid","reachedgrid",0.0838
"158","284","OCCURRENCE","centertogrid","reachedgrid",0.0346
"159","284","IMPACT","centertogrid","weighted",0.1887
"160","284","OCCURRENCE","centertogrid","weighted",0.1761
"161","284","IMPACT","centertogrid","pooling",0.5286
"162","284","OCCURRENCE","centertogrid","pooling",0.6857
"163","284","IMPACT","reachedgrid","weighted",0.1963
"164","284","OCCURRENCE","reachedgrid","weighted",0.1454
"165","284","IMPACT","reachedgrid","pooling",0.52
"166","284","OCCURRENCE","reachedgrid","pooling",0.7203
"167","284","IMPACT","weighted","pooling",0.5821
"168","284","OCCURRENCE","weighted","pooling",0.605
"169","285","IMPACT","classic","area",0.382
"170","285","OCCURRENCE","classic","area",0.4229
"171","285","IMPACT","classic","center",0.3662
"172","285","OCCURRENCE","classic","center",0.4225
"173","285","IMPACT","classic","centertogrid",0.1439
"174","285","OCCURRENCE","classic","centertogrid",0.2535
"175","285","IMPACT","classic","reachedgrid",0.2108
"176","285","OCCURRENCE","classic","reachedgrid",0.2563
"177","285","IMPACT","classic","weighted",0.3508
"178","285","OCCURRENCE","classic","weighted",0.4087
"179","285","IMPACT","classic","pooling",0.5493
"180","285","OCCURRENCE","classic","pooling",0.7606
"181","285","IMPACT","area","center",0.1328
"182","285","OCCURRENCE","area","center",0.0529
"183","285","IMPACT","area","centertogrid",0.2381
"184","285","OCCURRENCE","area","centertogrid",0.1694
"185","285","IMPACT","area","reachedgrid",0.1712
"186","285","OCCURRENCE","area","reachedgrid",0.1666
"187","285","IMPACT","area","weighted",0.0366
"188","285","OCCURRENCE","area","weighted",0.0142
"189","285","IMPACT","area","pooling",0.7107
"190","285","OCCURRENCE","area","pooling",0.5156
"191","285","IMPACT","center","centertogrid",0.2223
"192","285","OCCURRENCE","center","centertogrid",0.169
"193","285","IMPACT","center","reachedgrid",0.1827
"194","285","OCCURRENCE","center","reachedgrid",0.1684
"195","285","IMPACT","center","weighted",0.0964
"196","285","OCCURRENCE","center","weighted",0.0495
"197","285","IMPACT","center","pooling",0.6338
"198","285","OCCURRENCE","center","pooling",0.507
"199","285","IMPACT","centertogrid","reachedgrid",0.0732
"200","285","OCCURRENCE","centertogrid","reachedgrid",0.0135
"201","285","IMPACT","centertogrid","weighted",0.2069
"202","285","OCCURRENCE","centertogrid","weighted",0.1641
"203","285","IMPACT","centertogrid","pooling",0.5571
"204","285","OCCURRENCE","centertogrid","pooling",0.507
"205","285","IMPACT","reachedgrid","weighted",0.1402
"206","285","OCCURRENCE","reachedgrid","weighted",0.1558
"207","285","IMPACT","reachedgrid","pooling",0.5562
"208","285","OCCURRENCE","reachedgrid","pooling",0.5043
"209","285","IMPACT","weighted","pooling",0.6829
"210","285","OCCURRENCE","weighted","pooling",0.5065
"211","286","IMPACT","classic","area",0.3008
"212","286","OCCURRENCE","classic","area",0.2198
"213","286","IMPACT","classic","center",0.2615
"214","286","OCCURRENCE","classic","center",0.2308
"215","286","IMPACT","classic","centertogrid",0.1077
"216","286","OCCURRENCE","classic","centertogrid",0.0923
"217","286","IMPACT","classic","reachedgrid",0.1246
"218","286","OCCURRENCE","classic","reachedgrid",0.0731
"219","286","IMPACT","classic","weighted",0.2978
"220","286","OCCURRENCE","classic","weighted",0.2367
"221","286","IMPACT","classic","pooling",0.7231
"222","286","OCCURRENCE","classic","pooling",0.6769
"223","286","IMPACT","area","center",0.1132
"224","286","OCCURRENCE","area","center",0.055
"225","286","IMPACT","area","centertogrid",0.2085
"226","286","OCCURRENCE","area","centertogrid",0.2443
"227","286","IMPACT","area","reachedgrid",0.1762
"228","286","OCCURRENCE","area","reachedgrid",0.1923
"229","286","IMPACT","area","weighted",0.01
"230","286","OCCURRENCE","area","weighted",0.023
"231","286","IMPACT","area","pooling",0.5777
"232","286","OCCURRENCE","area","pooling",0.5284
"233","286","IMPACT","center","centertogrid",0.2154
"234","286","OCCURRENCE","center","centertogrid",0.2769
"235","286","IMPACT","center","reachedgrid",0.1861
"236","286","OCCURRENCE","center","reachedgrid",0.212
"237","286","IMPACT","center","weighted",0.1061
"238","286","OCCURRENCE","center","weighted",0.0673
"239","286","IMPACT","center","pooling",0.5385
"240","286","OCCURRENCE","center","pooling",0.5077
"241","286","IMPACT","centertogrid","reachedgrid",0.0796
"242","286","OCCURRENCE","centertogrid","reachedgrid",0.0649
"243","286","IMPACT","centertogrid","weighted",0.2054
"244","286","OCCURRENCE","centertogrid","weighted",0.239
"245","286","IMPACT","centertogrid","pooling",0.6308
"246","286","OCCURRENCE","centertogrid","pooling",0.5846
"247","286","IMPACT","reachedgrid","weighted",0.1732
"248","286","OCCURRENCE","reachedgrid","weighted",0.2093
"249","286","IMPACT","reachedgrid","pooling",0.5985
"250","286","OCCURRENCE","reachedgrid","pooling",0.6038
"251","286","IMPACT","weighted","pooling",0.5747
"252","286","OCCURRENCE","weighted","pooling",0.5119
"253","287","IMPACT","classic","area",0.2963
"254","287","OCCURRENCE","classic","area",0.4229
"255","287","IMPACT","classic","center",0.2727
"256","287","OCCURRENCE","classic","center",0.303
"257","287","IMPACT","classic","centertogrid",0.1515
"258","287","OCCURRENCE","classic","centertogrid",0.2023
"259","287","IMPACT","classic","reachedgrid",0.1789
"260","287","OCCURRENCE","classic","reachedgrid",0.255
"261","287","IMPACT","classic","weighted",0.2261
"262","287","OCCURRENCE","classic","weighted",0.365
"263","287","IMPACT","classic","pooling",0.6061
"264","287","OCCURRENCE","classic","pooling",0.6667
"265","287","IMPACT","area","center",0.1565
"266","287","OCCURRENCE","area","center",0.1412
"267","287","IMPACT","area","centertogrid",0.3311
"268","287","OCCURRENCE","area","centertogrid",0.3121
"269","287","IMPACT","area","reachedgrid",0.2031
"270","287","OCCURRENCE","area","reachedgrid",0.1894
"271","287","IMPACT","area","weighted",0.071
"272","287","OCCURRENCE","area","weighted",0.0608
