"","type","method1","method2","distance"
"1","IMPACT","classic","area",6.13635441176471
"2","OCCURRENCE","classic","area",7.01364705882353
"3","IMPACT","area","center",1.28592941176471
"4","OCCURRENCE","area","center",0.464675
"5","IMPACT","classic","center",7.34888088235294
"6","OCCURRENCE","classic","center",3.82821029411765
"7","IMPACT","area","centertogrid",4.12358529411765
"8","OCCURRENCE","area","centertogrid",3.56612205882353
"9","IMPACT","center","centertogrid",3.61197058823529
"10","OCCURRENCE","center","centertogrid",3.10029117647059
"11","IMPACT","classic","centertogrid",2.23135735294118
"12","OCCURRENCE","classic","centertogrid",2.71521470588235
"13","IMPACT","area","reachedgrid",5.96352205882353
"14","OCCURRENCE","area","reachedgrid",4.82839558823529
"15","IMPACT","center","reachedgrid",6.67472058823529
"16","OCCURRENCE","center","reachedgrid",3.46488382352941
"17","IMPACT","centertogrid","reachedgrid",0.672469117647059
"18","OCCURRENCE","centertogrid","reachedgrid",0.348986764705882
"19","IMPACT","classic","reachedgrid",2.84025
"20","OCCURRENCE","classic","reachedgrid",2.86690147058824
