"","type","method1","method2","distance"
"1","IMPACT","classic","area",25.6319
"2","OCCURRENCE","classic","area",28.2847
"3","IMPACT","area","center",10.0601
"4","OCCURRENCE","area","center",7.0385
"5","IMPACT","classic","center",26.6861
"6","OCCURRENCE","classic","center",28.584
"7","IMPACT","area","centertogrid",20.4022
"8","OCCURRENCE","area","centertogrid",18.7086
"9","IMPACT","center","centertogrid",21.4197
"10","OCCURRENCE","center","centertogrid",19.6824
"11","IMPACT","classic","centertogrid",11.3421
"12","OCCURRENCE","classic","centertogrid",15.5213
"13","IMPACT","area","pooling",50.7078
"14","OCCURRENCE","area","pooling",62.328
"15","IMPACT","center","pooling",48.4943
"16","OCCURRENCE","center","pooling",62.2544
"17","IMPACT","centertogrid","pooling",51.5792
"18","OCCURRENCE","centertogrid","pooling",63.417
"19","IMPACT","classic","pooling",57.1064
"20","OCCURRENCE","classic","pooling",63.3186
"21","IMPACT","reachedgrid","pooling",52.9786
"22","OCCURRENCE","reachedgrid","pooling",63.3362
"23","IMPACT","weighted","pooling",49.2626
"24","OCCURRENCE","weighted","pooling",62.1569
"25","IMPACT","area","reachedgrid",15.9315
"26","OCCURRENCE","area","reachedgrid",15.6565
"27","IMPACT","center","reachedgrid",20.1464
"28","OCCURRENCE","center","reachedgrid",17.0931
"29","IMPACT","centertogrid","reachedgrid",7.5905
"30","OCCURRENCE","centertogrid","reachedgrid",5.0161
"31","IMPACT","classic","reachedgrid",12.6678
"32","OCCURRENCE","classic","reachedgrid",15.3225
"33","IMPACT","area","weighted",3.5405
"34","OCCURRENCE","area","weighted",1.5812
"35","IMPACT","center","weighted",7.1383
"36","OCCURRENCE","center","weighted",6.101
"37","IMPACT","centertogrid","weighted",18.9542
"38","OCCURRENCE","centertogrid","weighted",18.4876
"39","IMPACT","classic","weighted",25.3076
"40","OCCURRENCE","classic","weighted",28.134
"41","IMPACT","reachedgrid","weighted",16.9983
"42","OCCURRENCE","reachedgrid","weighted",15.6479
