"","type","method1","method2","distance"
"1","IMPACT","classic","area",5.4208
"2","OCCURRENCE","classic","area",6.3774
"3","IMPACT","area","center",2.3009
"4","OCCURRENCE","area","center",1.7521
"5","IMPACT","classic","center",5.2747
"6","OCCURRENCE","classic","center",5.7964
"7","IMPACT","area","centertogrid",4.6851
"8","OCCURRENCE","area","centertogrid",4.3893
"9","IMPACT","center","centertogrid",5.1051
"10","OCCURRENCE","center","centertogrid",4.5247
"11","IMPACT","classic","centertogrid",2.1365
"12","OCCURRENCE","classic","centertogrid",3.5579
"13","IMPACT","area","pooling",10.8238
"14","OCCURRENCE","area","pooling",11.5479
"15","IMPACT","center","pooling",10.2644
"16","OCCURRENCE","center","pooling",11.0301
"17","IMPACT","centertogrid","pooling",11.1364
"18","OCCURRENCE","centertogrid","pooling",11.8739
"19","IMPACT","classic","pooling",12.5008
"20","OCCURRENCE","classic","pooling",13.2442
"21","IMPACT","reachedgrid","pooling",12.09
"22","OCCURRENCE","reachedgrid","pooling",12.8559
"23","IMPACT","weighted","pooling",10.4751
"24","OCCURRENCE","weighted","pooling",11.2246
"25","IMPACT","area","reachedgrid",3.4893
"26","OCCURRENCE","area","reachedgrid",3.286
"27","IMPACT","center","reachedgrid",4.622
"28","OCCURRENCE","center","reachedgrid",3.7925
"29","IMPACT","centertogrid","reachedgrid",1.6949
"30","OCCURRENCE","centertogrid","reachedgrid",1.4617
"31","IMPACT","classic","reachedgrid",2.451
"32","OCCURRENCE","classic","reachedgrid",3.6165
"33","IMPACT","area","weighted",0.8823
"34","OCCURRENCE","area","weighted",0.4959
"35","IMPACT","center","weighted",1.552
"36","OCCURRENCE","center","weighted",1.4437
"37","IMPACT","centertogrid","weighted",4.3882
"38","OCCURRENCE","centertogrid","weighted",4.2186
"39","IMPACT","classic","weighted",4.9961
"40","OCCURRENCE","classic","weighted",6.0405
"41","IMPACT","reachedgrid","weighted",3.9628
"42","OCCURRENCE","reachedgrid","weighted",3.3251
