"","scenario","type","method1","method2","distance"
"1","287","IMPACT","classic","area",0.2963
"2","287","OCCURRENCE","classic","area",0.4229
"3","287","IMPACT","classic","center",0.2727
"4","287","OCCURRENCE","classic","center",0.303
"5","287","IMPACT","classic","centertogrid",0.1515
"6","287","OCCURRENCE","classic","centertogrid",0.2023
"7","287","IMPACT","classic","reachedgrid",0.1789
"8","287","OCCURRENCE","classic","reachedgrid",0.255
"9","287","IMPACT","classic","weighted",0.2258
"10","287","OCCURRENCE","classic","weighted",0.3648
"11","287","IMPACT","classic","pooling",0.6061
"12","287","OCCURRENCE","classic","pooling",0.6667
"13","287","IMPACT","area","center",0.1565
"14","287","OCCURRENCE","area","center",0.1412
"15","287","IMPACT","area","centertogrid",0.3311
"16","287","OCCURRENCE","area","centertogrid",0.3121
"17","287","IMPACT","area","reachedgrid",0.2031
"18","287","OCCURRENCE","area","reachedgrid",0.1894
"19","287","IMPACT","area","weighted",0.0713
"20","287","OCCURRENCE","area","weighted",0.0608
"21","287","IMPACT","area","pooling",0.5099
"22","287","OCCURRENCE","area","pooling",0.6919
"23","287","IMPACT","center","centertogrid",0.3636
"24","287","OCCURRENCE","center","centertogrid",0.3548
"25","287","IMPACT","center","reachedgrid",0.2752
"26","287","OCCURRENCE","center","reachedgrid",0.2528
"27","287","IMPACT","center","weighted",0.1217
"28","287","OCCURRENCE","center","weighted",0.1003
"29","287","IMPACT","center","pooling",0.6061
"30","287","OCCURRENCE","center","pooling",0.5758
"31","287","IMPACT","centertogrid","reachedgrid",0.154
"32","287","OCCURRENCE","centertogrid","reachedgrid",0.1227
"33","287","IMPACT","centertogrid","weighted",0.3005
"34","287","OCCURRENCE","centertogrid","weighted",0.2983
"35","287","IMPACT","centertogrid","pooling",0.5152
"36","287","OCCURRENCE","centertogrid","pooling",0.5846
"37","287","IMPACT","reachedgrid","weighted",0.2738
"38","287","OCCURRENCE","reachedgrid","weighted",0.1877
"39","287","IMPACT","reachedgrid","pooling",0.6691
"40","287","OCCURRENCE","reachedgrid","pooling",0.7073
"41","287","IMPACT","weighted","pooling",0.5811
"42","287","OCCURRENCE","weighted","pooling",0.6398
"43","288","IMPACT","classic","area",0.2623
"44","288","OCCURRENCE","classic","area",0.3185
"45","288","IMPACT","classic","center",0.3182
"46","288","OCCURRENCE","classic","center",0.2879
"47","288","IMPACT","classic","centertogrid",0.1667
"48","288","OCCURRENCE","classic","centertogrid",0.1667
"49","288","IMPACT","classic","reachedgrid",0.1168
"50","288","OCCURRENCE","classic","reachedgrid",0.1938
"51","288","IMPACT","classic","weighted",0.283
"52","288","OCCURRENCE","classic","weighted",0.3154
"53","288","IMPACT","classic","pooling",0.5455
"54","288","OCCURRENCE","classic","pooling",0.5758
"55","288","IMPACT","area","center",0.1108
"56","288","OCCURRENCE","area","center",0.0805
"57","288","IMPACT","area","centertogrid",0.1885
"58","288","OCCURRENCE","area","centertogrid",0.1973
"59","288","IMPACT","area","reachedgrid",0.1693
"60","288","OCCURRENCE","area","reachedgrid",0.1438
"61","288","IMPACT","area","weighted",0.0293
"62","288","OCCURRENCE","area","weighted",0.0065
