"","scenario","type","method1","method2","distance"
"1","281","IMPACT","classic","area",0.3761
"2","281","OCCURRENCE","classic","area",0.3274
"3","281","IMPACT","classic","center",0.4286
"4","281","OCCURRENCE","classic","center",0.3286
"5","281","IMPACT","classic","centertogrid",0.2143
"6","281","OCCURRENCE","classic","centertogrid",0.1857
"7","281","IMPACT","classic","reachedgrid",0.2068
"8","281","OCCURRENCE","classic","reachedgrid",0.2094
"9","281","IMPACT","classic","weighted",0.3972
"10","281","OCCURRENCE","classic","weighted",0.3348
"11","281","IMPACT","classic","pooling",0.7857
"12","281","OCCURRENCE","classic","pooling",0.8
"13","281","IMPACT","area","center",0.0957
"14","281","OCCURRENCE","area","center",0.0505
"15","281","IMPACT","area","centertogrid",0.1664
"16","281","OCCURRENCE","area","centertogrid",0.1989
"17","281","IMPACT","area","reachedgrid",0.1693
"18","281","OCCURRENCE","area","reachedgrid",0.1774
"19","281","IMPACT","area","weighted",0.0214
"20","281","OCCURRENCE","area","weighted",0.0109
"21","281","IMPACT","area","pooling",0.498
"22","281","OCCURRENCE","area","pooling",0.4965
"23","281","IMPACT","center","centertogrid",0.2143
"24","281","OCCURRENCE","center","centertogrid",0.2
"25","281","IMPACT","center","reachedgrid",0.2218
"26","281","OCCURRENCE","center","reachedgrid",0.1808
"27","281","IMPACT","center","weighted",0.0744
"28","281","OCCURRENCE","center","weighted",0.0437
"29","281","IMPACT","center","pooling",0.5041
"30","281","OCCURRENCE","center","pooling",0.5
"31","281","IMPACT","centertogrid","reachedgrid",0.0532
"32","281","OCCURRENCE","centertogrid","reachedgrid",0.0646
"33","281","IMPACT","centertogrid","weighted",0.1829
"34","281","OCCURRENCE","centertogrid","weighted",0.2063
"35","281","IMPACT","centertogrid","pooling",0.5714
"36","281","OCCURRENCE","centertogrid","pooling",0.6714
"37","281","IMPACT","reachedgrid","weighted",0.1904
"38","281","OCCURRENCE","reachedgrid","weighted",0.1698
"39","281","IMPACT","reachedgrid","pooling",0.5789
"40","281","OCCURRENCE","reachedgrid","pooling",0.6068
"41","281","IMPACT","weighted","pooling",0.5161
"42","281","OCCURRENCE","weighted","pooling",0.5035
