"","scenario","type","method1","method2","distance","pValue"
"1","287","IMPACT","classic","area",0.2963,0
"2","287","OCCURRENCE","classic","area",0.4229,0
"3","287","IMPACT","classic","center",0.2727,0.0099
"4","287","OCCURRENCE","classic","center",0.303,0.0022
"5","287","IMPACT","classic","centertogrid",0.1515,0.1606
"6","287","OCCURRENCE","classic","centertogrid",0.2023,0.0273
"7","287","IMPACT","classic","reachedgrid",0.1789,0.0234
"8","287","OCCURRENCE","classic","reachedgrid",0.255,7e-04
"9","287","IMPACT","classic","weighted",0.2259,0.0024
"10","287","OCCURRENCE","classic","weighted",0.3647,0
"11","287","IMPACT","classic","pooling",0.6061,0.5672
"12","287","OCCURRENCE","classic","pooling",0.6667,0.4925
"13","287","IMPACT","area","center",0.1565,0.0815
"14","287","OCCURRENCE","area","center",0.1412,0.1487
"15","287","IMPACT","area","centertogrid",0.3311,0
"16","287","OCCURRENCE","area","centertogrid",0.3121,0
"17","287","IMPACT","area","reachedgrid",0.2031,0
"18","287","OCCURRENCE","area","reachedgrid",0.1894,4e-04
"19","287","IMPACT","area","weighted",0.0712,0
"20","287","OCCURRENCE","area","weighted",0.0609,0
"21","287","IMPACT","area","pooling",0.5099,0.9784
"22","287","OCCURRENCE","area","pooling",0.6919,0.6157
"23","287","IMPACT","center","centertogrid",0.3636,2e-04
"24","287","OCCURRENCE","center","centertogrid",0.3548,3e-04
"25","287","IMPACT","center","reachedgrid",0.2752,8e-04
"26","287","OCCURRENCE","center","reachedgrid",0.2528,0.0036
"27","287","IMPACT","center","weighted",0.1217,0.2826
"28","287","OCCURRENCE","center","weighted",0.1004,0.5185
"29","287","IMPACT","center","pooling",0.6061,0.791
"30","287","OCCURRENCE","center","pooling",0.5758,0.8657
"31","287","IMPACT","centertogrid","reachedgrid",0.154,0.0655
"32","287","OCCURRENCE","centertogrid","reachedgrid",0.1227,0.2143
"33","287","IMPACT","centertogrid","weighted",0.3006,0
"34","287","OCCURRENCE","centertogrid","weighted",0.2985,0
"35","287","IMPACT","centertogrid","pooling",0.5152,0.806
"36","287","OCCURRENCE","centertogrid","pooling",0.5846,0.7727
"37","287","IMPACT","reachedgrid","weighted",0.2737,0
"38","287","OCCURRENCE","reachedgrid","weighted",0.1877,3e-04
"39","287","IMPACT","reachedgrid","pooling",0.6691,0.5109
"40","287","OCCURRENCE","reachedgrid","pooling",0.7073,0.5081
"41","287","IMPACT","weighted","pooling",0.581,0.8884
"42","287","OCCURRENCE","weighted","pooling",0.6399,0.8075
"43","288","IMPACT","classic","area",0.2623,3e-04
"44","288","OCCURRENCE","classic","area",0.3185,0
"45","288","IMPACT","classic","center",0.3182,0.0015
"46","288","OCCURRENCE","classic","center",0.2879,0.0048
"47","288","IMPACT","classic","centertogrid",0.1667,0.0966
"48","288","OCCURRENCE","classic","centertogrid",0.1667,0.0946
"49","288","IMPACT","classic","reachedgrid",0.1168,0.1926
"50","288","OCCURRENCE","classic","reachedgrid",0.1938,0.0175
"51","288","IMPACT","classic","weighted",0.2833,1e-04
"52","288","OCCURRENCE","classic","weighted",0.3154,0
"53","288","IMPACT","classic","pooling",0.5455,0.5373
"54","288","OCCURRENCE","classic","pooling",0.5758,0.5224
"55","288","IMPACT","area","center",0.1108,0.3994
"56","288","OCCURRENCE","area","center",0.0805,0.7953
"57","288","IMPACT","area","centertogrid",0.1885,0.0194
"58","288","OCCURRENCE","area","centertogrid",0.1973,0.0128
"59","288","IMPACT","area","reachedgrid",0.1693,0.001
"60","288","OCCURRENCE","area","reachedgrid",0.1438,0.0282
"61","288","IMPACT","area","weighted",0.0296,0
"62","288","OCCURRENCE","area","weighted",0.0068,0.9956
"63","288","IMPACT","area","pooling",0.5006,0.9957
"64","288","OCCURRENCE","area","pooling",0.6295,0.7373
"65","288","IMPACT","center","centertogrid",0.2273,0.0496
"66","288","OCCURRENCE","center","centertogrid",0.1667,0.2631
"67","288","IMPACT","center","reachedgrid",0.2465,0.0038
"68","288","OCCURRENCE","center","reachedgrid",0.1795,0.0861
"69","288","IMPACT","center","weighted",0.0819,0.7684
"70","288","OCCURRENCE","center","weighted",0.0752,0.8496
"71","288","IMPACT","center","pooling",0.5303,0.9552
"72","288","OCCURRENCE","center","pooling",0.5909,0.8358
"73","288","IMPACT","centertogrid","reachedgrid",0.0498,0.7923
"74","288","OCCURRENCE","centertogrid","reachedgrid",0.0726,0.6654
"75","288","IMPACT","centertogrid","weighted",0.1673,0.0497
"76","288","OCCURRENCE","centertogrid","weighted",0.1942,0.0138
"77","288","IMPACT","centertogrid","pooling",0.5303,0.7164
"78","288","OCCURRENCE","centertogrid","pooling",0.5909,0.6716
"79","288","IMPACT","reachedgrid","weighted",0.1727,6e-04
"80","288","OCCURRENCE","reachedgrid","weighted",0.1469,0.0206
"81","288","IMPACT","reachedgrid","pooling",0.5111,0.6838
"82","288","OCCURRENCE","reachedgrid","pooling",0.6038,0.729
"83","288","IMPACT","weighted","pooling",0.5255,0.9453
"84","288","OCCURRENCE","weighted","pooling",0.625,0.8296
"85","290","IMPACT","classic","area",0.3602,0
"86","290","OCCURRENCE","classic","area",0.3523,0
"87","290","IMPACT","classic","center",0.2647,0.0107
"88","290","OCCURRENCE","classic","center",0.2647,0.0088
"89","290","IMPACT","classic","centertogrid",0.2059,0.0284
"90","290","OCCURRENCE","classic","centertogrid",0.1798,0.0537
"91","290","IMPACT","classic","reachedgrid",0.1886,0.0146
"92","290","OCCURRENCE","classic","reachedgrid",0.1867,0.0173
"93","290","IMPACT","classic","weighted",0.3249,0
"94","290","OCCURRENCE","classic","weighted",0.3182,0
"95","290","IMPACT","classic","pooling",0.7059,0.6087
"96","290","OCCURRENCE","classic","pooling",0.7206,0.5362
"97","290","IMPACT","area","center",0.1213,0.2752
"98","290","OCCURRENCE","area","center",0.139,0.1502
"99","290","IMPACT","area","centertogrid",0.2214,0.0027
"100","290","OCCURRENCE","area","centertogrid",0.3013,0
"101","290","IMPACT","area","reachedgrid",0.1715,5e-04
"102","290","OCCURRENCE","area","reachedgrid",0.1921,4e-04
"103","290","IMPACT","area","weighted",0.0355,0
"104","290","OCCURRENCE","area","weighted",0.0382,0
"105","290","IMPACT","area","pooling",0.5801,0.8389
"106","290","OCCURRENCE","area","pooling",0.692,0.616
"107","290","IMPACT","center","centertogrid",0.2059,0.0859
"108","290","OCCURRENCE","center","centertogrid",0.3145,0.0015
"109","290","IMPACT","center","reachedgrid",0.2205,0.0097
"110","290","OCCURRENCE","center","reachedgrid",0.2265,0.0115
"111","290","IMPACT","center","weighted",0.0863,0.6917
"112","290","OCCURRENCE","center","weighted",0.1148,0.3314
"113","290","IMPACT","center","pooling",0.5294,0.9565
"114","290","OCCURRENCE","center","pooling",0.6029,0.8116
"115","290","IMPACT","centertogrid","reachedgrid",0.0736,0.5594
"116","290","OCCURRENCE","centertogrid","reachedgrid",0.1146,0.2553
"117","290","IMPACT","centertogrid","weighted",0.1917,0.0135
"118","290","OCCURRENCE","centertogrid","weighted",0.2917,0
"119","290","IMPACT","centertogrid","pooling",0.5,1
"120","290","OCCURRENCE","centertogrid","pooling",0.6119,0.7941
"121","290","IMPACT","reachedgrid","weighted",0.1582,0.0014
"122","290","OCCURRENCE","reachedgrid","weighted",0.1771,0.0013
"123","290","IMPACT","reachedgrid","pooling",0.5172,0.7055
"124","290","OCCURRENCE","reachedgrid","pooling",0.7265,0.5085
"125","290","IMPACT","weighted","pooling",0.5478,0.925
"126","290","OCCURRENCE","weighted","pooling",0.6612,0.7745
"127","291","IMPACT","classic","area",0.2243,0.0017
"128","291","OCCURRENCE","classic","area",0.3418,0
"129","291","IMPACT","classic","center",0.2535,0.0136
"130","291","OCCURRENCE","classic","center",0.3662,1e-04
"131","291","IMPACT","classic","centertogrid",0.0986,0.5016
"132","291","OCCURRENCE","classic","centertogrid",0.2394,0.0051
"133","291","IMPACT","classic","reachedgrid",0.0895,0.425
"134","291","OCCURRENCE","classic","reachedgrid",0.2435,0.0017
"135","291","IMPACT","classic","weighted",0.1917,0.0108
"136","291","OCCURRENCE","classic","weighted",0.3506,0
"137","291","IMPACT","classic","pooling",0.7183,0.4722
"138","291","OCCURRENCE","classic","pooling",0.6197,0.5833
"139","291","IMPACT","area","center",0.1011,0.4701
"140","291","OCCURRENCE","area","center",0.0557,0.9819
"141","291","IMPACT","area","centertogrid",0.2262,0.0015
"142","291","OCCURRENCE","area","centertogrid",0.1619,0.0514
"143","291","IMPACT","area","reachedgrid",0.1704,8e-04
"144","291","OCCURRENCE","area","reachedgrid",0.1449,0.0187
"145","291","IMPACT","area","weighted",0.0327,0
"146","291","OCCURRENCE","area","weighted",0.0114,0.6127
"147","291","IMPACT","area","pooling",0.604,0.7903
"148","291","OCCURRENCE","area","pooling",0.51,0.977
"149","291","IMPACT","center","centertogrid",0.2535,0.0155
"150","291","OCCURRENCE","center","centertogrid",0.1549,0.3047
"151","291","IMPACT","center","reachedgrid",0.2671,9e-04
"152","291","OCCURRENCE","center","reachedgrid",0.1481,0.1954
"153","291","IMPACT","center","weighted",0.0685,0.8929
"154","291","OCCURRENCE","center","weighted",0.0575,0.9729
"155","291","IMPACT","center","pooling",0.5211,0.9722
"156","291","OCCURRENCE","center","pooling",0.507,1
"157","291","IMPACT","centertogrid","reachedgrid",0.0558,0.7582
"158","291","OCCURRENCE","centertogrid","reachedgrid",0.0355,0.9561
"159","291","IMPACT","centertogrid","weighted",0.2157,0.0027
"160","291","OCCURRENCE","centertogrid","weighted",0.153,0.0719
"161","291","IMPACT","centertogrid","pooling",0.6761,0.5417
"162","291","OCCURRENCE","centertogrid","pooling",0.6056,0.7361
"163","291","IMPACT","reachedgrid","weighted",0.1986,0
"164","291","OCCURRENCE","reachedgrid","weighted",0.1475,0.014
"165","291","IMPACT","reachedgrid","pooling",0.7319,0.5108
"166","291","OCCURRENCE","reachedgrid","pooling",0.5702,0.7739
"167","291","IMPACT","weighted","pooling",0.5717,0.8994
"168","291","OCCURRENCE","weighted","pooling",0.5013,0.9631
"169","292","IMPACT","classic","area",0.2411,6e-04
"170","292","OCCURRENCE","classic","area",0.4133,0
"171","292","IMPACT","classic","center",0.3286,6e-04
