"","scenario","type","method1","method2","distance","pValue"
"1","281","IMPACT","classic","area",0.3761,0
"2","281","OCCURRENCE","classic","area",0.3274,0
"3","281","IMPACT","classic","center",0.4286,0
"4","281","OCCURRENCE","classic","center",0.3286,6e-04
"5","281","IMPACT","classic","centertogrid",0.2143,0.0172
"6","281","OCCURRENCE","classic","centertogrid",0.1857,0.0557
"7","281","IMPACT","classic","reachedgrid",0.2068,0.0332
"8","281","OCCURRENCE","classic","reachedgrid",0.2094,0.008
"9","281","IMPACT","classic","weighted",0.397,0
"10","281","OCCURRENCE","classic","weighted",0.3352,0
"11","281","IMPACT","classic","pooling",0.7857,0
"12","281","OCCURRENCE","classic","pooling",0.5,0
"13","281","IMPACT","area","center",0.0957,0.5501
"14","281","OCCURRENCE","area","center",0.0505,0.9946
"15","281","IMPACT","area","centertogrid",0.1664,0.0431
"16","281","OCCURRENCE","area","centertogrid",0.1989,0.0086
"17","281","IMPACT","area","reachedgrid",0.1693,4e-04
"18","281","OCCURRENCE","area","reachedgrid",0.1774,0.0016
"19","281","IMPACT","area","weighted",0.0213,0.0059
"20","281","OCCURRENCE","area","weighted",0.0112,0.6806
"21","281","IMPACT","area","pooling",0.498,0
"22","281","OCCURRENCE","area","pooling",0.6047,0
"23","281","IMPACT","center","centertogrid",0.2143,0.0599
"24","281","OCCURRENCE","center","centertogrid",0.2,0.0917
"25","281","IMPACT","center","reachedgrid",0.2218,0.0179
"26","281","OCCURRENCE","center","reachedgrid",0.1808,0.0651
"27","281","IMPACT","center","weighted",0.0744,0.8332
"28","281","OCCURRENCE","center","weighted",0.0436,0.9993
"29","281","IMPACT","center","pooling",0.5041,0
"30","281","OCCURRENCE","center","pooling",0.6282,0
"31","281","IMPACT","centertogrid","reachedgrid",0.0532,0.9992
"32","281","OCCURRENCE","centertogrid","reachedgrid",0.0646,0.7235
"33","281","IMPACT","centertogrid","weighted",0.1827,0.0187
"34","281","OCCURRENCE","centertogrid","weighted",0.2066,0.0051
"35","281","IMPACT","centertogrid","pooling",0.5714,0
"36","281","OCCURRENCE","centertogrid","pooling",0.6857,0
"37","281","IMPACT","reachedgrid","weighted",0.1902,0
"38","281","OCCURRENCE","reachedgrid","weighted",0.1694,0.0024
"39","281","IMPACT","reachedgrid","pooling",0.5789,0
"40","281","OCCURRENCE","reachedgrid","pooling",0.7094,0
"41","281","IMPACT","weighted","pooling",0.5157,0
"42","281","OCCURRENCE","weighted","pooling",0.6154,0
"43","283","IMPACT","classic","area",0.2494,3e-04
"44","283","OCCURRENCE","classic","area",0.4405,0
"45","283","IMPACT","classic","center",0.25,0.0136
"46","283","OCCURRENCE","classic","center",0.4167,0
"47","283","IMPACT","classic","centertogrid",0.1041,0.3163
"48","283","OCCURRENCE","classic","centertogrid",0.1944,0.0336
"49","283","IMPACT","classic","reachedgrid",0.1229,0.4425
"50","283","OCCURRENCE","classic","reachedgrid",0.2263,0.0025
"51","283","IMPACT","classic","weighted",0.2571,1e-04
"52","283","OCCURRENCE","classic","weighted",0.4377,0
"53","283","IMPACT","classic","pooling",0.6111,0
"54","283","OCCURRENCE","classic","pooling",0.5278,0
"55","283","IMPACT","area","center",0.105,0.4111
"56","283","OCCURRENCE","area","center",0.099,0.4915
"57","283","IMPACT","area","centertogrid",0.2163,0.0028
"58","283","OCCURRENCE","area","centertogrid",0.246,4e-04
"59","283","IMPACT","area","reachedgrid",0.154,0.0012
"60","283","OCCURRENCE","area","reachedgrid",0.2141,1e-04
"61","283","IMPACT","area","weighted",0.0395,0
"62","283","OCCURRENCE","area","weighted",0.0059,0.9986
"63","283","IMPACT","area","pooling",0.5872,0
"64","283","OCCURRENCE","area","pooling",0.8068,0
"65","283","IMPACT","center","centertogrid",0.243,0.0187
"66","283","OCCURRENCE","center","centertogrid",0.2222,0.0402
"67","283","IMPACT","center","reachedgrid",0.2343,0.0087
"68","283","OCCURRENCE","center","reachedgrid",0.1903,0.0447
"69","283","IMPACT","center","weighted",0.0833,0.7004
"70","283","OCCURRENCE","center","weighted",0.0943,0.5444
"71","283","IMPACT","center","pooling",0.5694,0
"72","283","OCCURRENCE","center","pooling",0.75,0
"73","283","IMPACT","centertogrid","reachedgrid",0.0934,0.7856
"74","283","OCCURRENCE","centertogrid","reachedgrid",0.0319,0.9634
"75","283","IMPACT","centertogrid","weighted",0.1849,0.0156
"76","283","OCCURRENCE","centertogrid","weighted",0.2432,4e-04
"77","283","IMPACT","centertogrid","pooling",0.507,0
"78","283","OCCURRENCE","centertogrid","pooling",0.7222,0
"79","283","IMPACT","reachedgrid","weighted",0.1735,1e-04
"80","283","OCCURRENCE","reachedgrid","weighted",0.2113,1e-04
"81","283","IMPACT","reachedgrid","pooling",0.5157,0
"82","283","OCCURRENCE","reachedgrid","pooling",0.6957,0
"83","283","IMPACT","weighted","pooling",0.5597,0
"84","283","OCCURRENCE","weighted","pooling",0.8009,0
