"","category","combined_p_value"
"1","IMP.classic.area",0
"2","OCC.classic.area",0
"3","IMP.classic.weighted",0
"4","OCC.classic.weighted",0
"5","IMP.classic.center",0
"6","OCC.classic.center",0
"7","IMP.classic.centertogrid",3.72721326230603e-11
"8","OCC.classic.centertogrid",3.42609855185134e-38
"9","IMP.classic.reachedgrid",4.40793260817083e-17
"10","OCC.classic.reachedgrid",0
"11","IMP.classic.pooling",0
"12","OCC.classic.pooling",0
"13","IMP.area.center",0.0125892419127128
"14","OCC.area.center",0.999999999999987
"15","IMP.area.centertogrid",0
"16","OCC.area.centertogrid",0
"17","IMP.area.reachedgrid",0
"18","OCC.area.reachedgrid",0
"19","IMP.area.weighted",0
"20","OCC.area.weighted",0
"21","IMP.area.pooling",0
"22","OCC.area.pooling",0
"23","IMP.center.centertogrid",0
"24","OCC.center.centertogrid",0
"25","IMP.center.reachedgrid",0
"26","OCC.center.reachedgrid",3.82345559878952e-47
"27","IMP.center.weighted",1
"28","OCC.center.weighted",1
"29","IMP.center.pooling",0
"30","OCC.center.pooling",0
"31","IMP.centertogrid.reachedgrid",0.999916156947123
"32","OCC.centertogrid.reachedgrid",0.999999999999648
"33","IMP.centertogrid.weighted",0
"34","OCC.centertogrid.weighted",0
"35","IMP.centertogrid.pooling",0
"36","OCC.centertogrid.pooling",0
"37","IMP.reachedgrid.weighted",0
"38","OCC.reachedgrid.weighted",0
"39","IMP.reachedgrid.pooling",0
"40","OCC.reachedgrid.pooling",0
"41","IMP.weighted.pooling",0
"42","OCC.weighted.pooling",0
