"","category","combined_p_value"
"1","IMP.classic.area",0
"2","OCC.classic.area",0
"3","IMP.classic.weighted",0
"4","OCC.classic.weighted",0
"5","IMP.classic.center",1.03554872662285e-25
"6","OCC.classic.center",0
"7","IMP.classic.centertogrid",0.0480363013374732
"8","OCC.classic.centertogrid",5.45261914354146e-13
"9","IMP.classic.reachedgrid",2.19848472786157e-05
"10","OCC.classic.reachedgrid",0
"11","IMP.classic.pooling",0
"12","OCC.classic.pooling",0
"13","IMP.area.center",0.0201228051369302
"14","OCC.area.center",0.925601341298039
"15","IMP.area.centertogrid",0
"16","OCC.area.centertogrid",0
"17","IMP.area.reachedgrid",0
"18","OCC.area.reachedgrid",0
"19","IMP.area.weighted",0
"20","OCC.area.weighted",0
"21","IMP.area.pooling",0
"22","OCC.area.pooling",0
"23","IMP.center.centertogrid",0
"24","OCC.center.centertogrid",0
"25","IMP.center.reachedgrid",0
"26","OCC.center.reachedgrid",4.37806833426027e-14
"27","IMP.center.weighted",0.999418540596896
"28","OCC.center.weighted",0.999987862822528
"29","IMP.center.pooling",0
"30","OCC.center.pooling",0
"31","IMP.centertogrid.reachedgrid",0.517703983635525
"32","OCC.centertogrid.reachedgrid",0.835273804873587
"33","IMP.centertogrid.weighted",0
"34","OCC.centertogrid.weighted",0
"35","IMP.centertogrid.pooling",0
"36","OCC.centertogrid.pooling",0
"37","IMP.reachedgrid.weighted",0
"38","OCC.reachedgrid.weighted",0
"39","IMP.reachedgrid.pooling",0
"40","OCC.reachedgrid.pooling",0
"41","IMP.weighted.pooling",0
"42","OCC.weighted.pooling",0
