"","category","combined_p_value"
"1","IMP.classic.area",0
"2","OCC.classic.area",0
"3","IMP.classic.weighted",0
"4","OCC.classic.weighted",0
"5","IMP.classic.center",0
"6","OCC.classic.center",0
"7","IMP.classic.centertogrid",6.16180878438046e-11
"8","OCC.classic.centertogrid",1.73967000124029e-27
"9","IMP.classic.reachedgrid",1.5513604324572e-13
"10","OCC.classic.reachedgrid",6.10070208436492e-43
"11","IMP.classic.pooling",0
"12","OCC.classic.pooling",0
"13","IMP.area.center",0.0727385992687627
"14","OCC.area.center",1
"15","IMP.area.centertogrid",0
"16","OCC.area.centertogrid",0
"17","IMP.area.reachedgrid",0
"18","OCC.area.reachedgrid",0
"19","IMP.area.weighted",0
"20","OCC.area.weighted",0
"21","IMP.area.pooling",0
"22","OCC.area.pooling",0
"23","IMP.center.centertogrid",1.11660816478503e-43
"24","OCC.center.centertogrid",3.17134344270379e-33
"25","IMP.center.reachedgrid",5.52597083069758e-64
"26","OCC.center.reachedgrid",2.73604612508983e-35
"27","IMP.center.weighted",0.999999999999977
"28","OCC.center.weighted",1
"29","IMP.center.pooling",0
"30","OCC.center.pooling",0
"31","IMP.centertogrid.reachedgrid",0.999993140020064
"32","OCC.centertogrid.reachedgrid",0.999999999999999
"33","IMP.centertogrid.weighted",0
"34","OCC.centertogrid.weighted",0
"35","IMP.centertogrid.pooling",0
"36","OCC.centertogrid.pooling",0
"37","IMP.reachedgrid.weighted",0
"38","OCC.reachedgrid.weighted",0
"39","IMP.reachedgrid.pooling",0
"40","OCC.reachedgrid.pooling",0
"41","IMP.weighted.pooling",0
"42","OCC.weighted.pooling",0
