"","scenario","type","method1","method2","distance","pValue"
"1","281","IMPACT","classic","weighted",NA,0.000321803310459132
"2","281","OCCURRENCE","classic","weighted",NA,0.00324479878927902
"3","281","IMPACT","area","weighted",NA,0.526633661195113
"4","281","OCCURRENCE","area","weighted",NA,0.538111803605205
"5","281","IMPACT","center","weighted",NA,0.666447812014784
"6","281","OCCURRENCE","center","weighted",NA,0.753077502910973
"7","281","IMPACT","centertogrid","weighted",NA,0.0769412781168569
"8","281","OCCURRENCE","centertogrid","weighted",NA,0.0598843385793535
"9","281","IMPACT","reachedgrid","weighted",NA,0.0491363331174647
"10","281","OCCURRENCE","reachedgrid","weighted",NA,0.0404021625766867
"11","281","IMPACT","pooling","weighted",NA,1.3676282328845e-15
"12","281","OCCURRENCE","pooling","weighted",NA,3.51996209957406e-16
"13","282","IMPACT","classic","weighted",NA,0.0252336189454916
"14","282","OCCURRENCE","classic","weighted",NA,0.0110017678944947
"15","282","IMPACT","area","weighted",NA,0.490158266511956
"16","282","OCCURRENCE","area","weighted",NA,0.532391565881524
"17","282","IMPACT","center","weighted",NA,0.663652253808419
"18","282","OCCURRENCE","center","weighted",NA,0.697690308531554
"19","282","IMPACT","centertogrid","weighted",NA,0.0490455479460584
"20","282","OCCURRENCE","centertogrid","weighted",NA,0.054113918683856
"21","282","IMPACT","reachedgrid","weighted",NA,0.0472783603617888
"22","282","OCCURRENCE","reachedgrid","weighted",NA,0.0394130084026533
"23","282","IMPACT","pooling","weighted",NA,2.4864554859505e-16
"24","282","OCCURRENCE","pooling","weighted",NA,4.11359835084113e-16
"25","283","IMPACT","classic","weighted",NA,0.004904939679668
"26","283","OCCURRENCE","classic","weighted",NA,8.62919737694388e-05
"27","283","IMPACT","area","weighted",NA,0.466601793423365
"28","283","OCCURRENCE","area","weighted",NA,0.544099176958079
"29","283","IMPACT","center","weighted",NA,0.55380678653386
"30","283","OCCURRENCE","center","weighted",NA,0.636378907863211
"31","283","IMPACT","centertogrid","weighted",NA,0.0332870821274497
"32","283","OCCURRENCE","centertogrid","weighted",NA,0.0276479292802934
"33","283","IMPACT","reachedgrid","weighted",NA,0.0454835279378283
"34","283","OCCURRENCE","reachedgrid","weighted",NA,0.0244824099958973
"35","283","IMPACT","pooling","weighted",NA,2.0176083026513e-16
