"","scenario","type","method1","method2","distance","pValue"
"1","287","IMPACT","classic","weighted",NA,0.0160786211756167
"2","287","OCCURRENCE","classic","weighted",NA,0.00122401902765293
"3","287","IMPACT","area","weighted",NA,0.34203364405275
"4","287","OCCURRENCE","area","weighted",NA,0.3750256948986
"5","287","IMPACT","center","weighted",NA,0.44477573193962
"6","287","OCCURRENCE","center","weighted",NA,0.562169328248338
"7","287","IMPACT","centertogrid","weighted",NA,0.00742103515951202
"8","287","OCCURRENCE","centertogrid","weighted",NA,0.00890863800997096
"9","287","IMPACT","reachedgrid","weighted",NA,0.00610990335053698
"10","287","OCCURRENCE","reachedgrid","weighted",NA,0.0299629935982883
"11","287","IMPACT","pooling","weighted",NA,2.71994649025942e-15
"12","287","OCCURRENCE","pooling","weighted",NA,3.34654526312761e-16
"13","288","IMPACT","classic","weighted",NA,0.00840281299504245
"14","288","OCCURRENCE","classic","weighted",NA,0.00295095308002033
"15","288","IMPACT","area","weighted",NA,0.502639432019853
"16","288","OCCURRENCE","area","weighted",NA,0.54239635836924
"17","288","IMPACT","center","weighted",NA,0.639897167226499
"18","288","OCCURRENCE","center","weighted",NA,0.665286215431958
"19","288","IMPACT","centertogrid","weighted",NA,0.0989317714395856
"20","288","OCCURRENCE","centertogrid","weighted",NA,0.096018106301036
"21","288","IMPACT","reachedgrid","weighted",NA,0.0265307843606613
"22","288","OCCURRENCE","reachedgrid","weighted",NA,0.08371581634455
"23","288","IMPACT","pooling","weighted",NA,6.86665169169487e-15
"24","288","OCCURRENCE","pooling","weighted",NA,3.55970808385564e-16
"25","290","IMPACT","classic","weighted",NA,0.00476335925965369
"26","290","OCCURRENCE","classic","weighted",NA,0.00351812776927152
"27","290","IMPACT","area","weighted",NA,0.481880115936868
"28","290","OCCURRENCE","area","weighted",NA,0.478827797652346
"29","290","IMPACT","center","weighted",NA,0.576578534020461
"30","290","OCCURRENCE","center","weighted",NA,0.563168708943763
"31","290","IMPACT","centertogrid","weighted",NA,0.0682925454252848
"32","290","OCCURRENCE","centertogrid","weighted",NA,0.00926311474821541
"33","290","IMPACT","reachedgrid","weighted",NA,0.0369660518905532
"34","290","OCCURRENCE","reachedgrid","weighted",NA,0.0341979367856852
"35","290","IMPACT","pooling","weighted",NA,1.55179202820932e-15
"36","290","OCCURRENCE","pooling","weighted",NA,4.15223411209809e-17
"37","291","IMPACT","classic","weighted",NA,0.0390805131021685
"38","291","OCCURRENCE","classic","weighted",NA,0.000958262924024618
"39","291","IMPACT","area","weighted",NA,0.49840024143107
"40","291","OCCURRENCE","area","weighted",NA,0.540681540681471
"41","291","IMPACT","center","weighted",NA,0.650428347203412
"42","291","OCCURRENCE","center","weighted",NA,0.721346161107624
"43","291","IMPACT","centertogrid","weighted",NA,0.0583423136045304
"44","291","OCCURRENCE","centertogrid","weighted",NA,0.167976424087352
"45","291","IMPACT","reachedgrid","weighted",NA,0.0258193118635492
"46","291","OCCURRENCE","reachedgrid","weighted",NA,0.0817623408632154
"47","291","IMPACT","pooling","weighted",NA,2.88868928777219e-16
"48","291","OCCURRENCE","pooling","weighted",NA,3.30346860977215e-16
"49","292","IMPACT","classic","weighted",NA,0.0115301403541939
"50","292","OCCURRENCE","classic","weighted",NA,0.000193056934802103
"51","292","IMPACT","area","weighted",NA,0.407632740609289
"52","292","OCCURRENCE","area","weighted",NA,0.530788363600436
"53","292","IMPACT","center","weighted",NA,0.616728584355702
"54","292","OCCURRENCE","center","weighted",NA,0.671800772571424
"55","292","IMPACT","centertogrid","weighted",NA,0.00982552620246022
"56","292","OCCURRENCE","centertogrid","weighted",NA,0.0351195970313603
"57","292","IMPACT","reachedgrid","weighted",NA,0.00908155978209859
"58","292","OCCURRENCE","reachedgrid","weighted",NA,0.0380621322934411
"59","292","IMPACT","pooling","weighted",NA,3.96860322382508e-16
"60","292","OCCURRENCE","pooling","weighted",NA,3.27915472553286e-16
"61","293","IMPACT","classic","weighted",NA,0.0182494763056191
"62","293","OCCURRENCE","classic","weighted",NA,0.00920720088700308
"63","293","IMPACT","area","weighted",NA,0.447547588145391
"64","293","OCCURRENCE","area","weighted",NA,0.515794692374062
"65","293","IMPACT","center","weighted",NA,0.605246340656861
"66","293","OCCURRENCE","center","weighted",NA,0.680466597331389
"67","293","IMPACT","centertogrid","weighted",NA,0.0509760377034726
"68","293","OCCURRENCE","centertogrid","weighted",NA,0.030439016144805
"69","293","IMPACT","reachedgrid","weighted",NA,0.02176522319767
"70","293","OCCURRENCE","reachedgrid","weighted",NA,0.0321725038097254
"71","293","IMPACT","pooling","weighted",NA,3.84367859762591e-13
"72","293","OCCURRENCE","pooling","weighted",NA,2.57210619469816e-13
"73","294","IMPACT","classic","weighted",NA,0.0050957567457842
"74","294","OCCURRENCE","classic","weighted",NA,0.0142359129005588
"75","294","IMPACT","area","weighted",NA,0.364050714698155
"76","294","OCCURRENCE","area","weighted",NA,0.482876860012629
"77","294","IMPACT","center","weighted",NA,0.599986045941647
"78","294","OCCURRENCE","center","weighted",NA,0.554752320790343
"79","294","IMPACT","centertogrid","weighted",NA,0.0309568435081265
"80","294","OCCURRENCE","centertogrid","weighted",NA,0.0016060985618305
"81","294","IMPACT","reachedgrid","weighted",NA,0.00876358739972991
"82","294","OCCURRENCE","reachedgrid","weighted",NA,0.00897399054905256
"83","294","IMPACT","pooling","weighted",NA,6.16731110625324e-15
"84","294","OCCURRENCE","pooling","weighted",NA,6.42709219178528e-15
"85","297","IMPACT","classic","weighted",NA,0.0468599368483497
"86","297","OCCURRENCE","classic","weighted",NA,0.00373642384787662
"87","297","IMPACT","area","weighted",NA,0.468010199949156
"88","297","OCCURRENCE","area","weighted",NA,0.50226227014002
"89","297","IMPACT","center","weighted",NA,0.650859734784654
"90","297","OCCURRENCE","center","weighted",NA,0.665815140392679
"91","297","IMPACT","centertogrid","weighted",NA,0.0172928006577915
"92","297","OCCURRENCE","centertogrid","weighted",NA,0.0226272445150244
"93","297","IMPACT","reachedgrid","weighted",NA,0.0252743005163324
"94","297","OCCURRENCE","reachedgrid","weighted",NA,0.0404119257075447
"95","297","IMPACT","pooling","weighted",NA,9.91429160990265e-18
"96","297","OCCURRENCE","pooling","weighted",NA,7.85227438626634e-16
"97","309","IMPACT","classic","weighted",NA,0.000508420437184992
"98","309","OCCURRENCE","classic","weighted",NA,0.000891723956271502
"99","309","IMPACT","area","weighted",NA,0.47618150119991
"100","309","OCCURRENCE","area","weighted",NA,0.535564001286221
"101","309","IMPACT","center","weighted",NA,0.58456882536617
"102","309","OCCURRENCE","center","weighted",NA,0.64532308228399
"103","309","IMPACT","centertogrid","weighted",NA,0.0607699230901298
"104","309","OCCURRENCE","centertogrid","weighted",NA,0.0212005981465816
"105","309","IMPACT","reachedgrid","weighted",NA,0.0512681508479976
