"","scenario","type","method1","method2","distance","pValue"
"1","281","IMPACT","classic","weighted",NA,0.000314701170730166
"2","281","OCCURRENCE","classic","weighted",NA,0.00327883500967895
"3","281","IMPACT","area","weighted",NA,0.523217009227815
"4","281","OCCURRENCE","area","weighted",NA,0.539024374834479
"5","281","IMPACT","center","weighted",NA,0.663484450106709
"6","281","OCCURRENCE","center","weighted",NA,0.753764291076253
"7","281","IMPACT","centertogrid","weighted",NA,0.0769561570129899
"8","281","OCCURRENCE","centertogrid","weighted",NA,0.0589690295603393
"9","281","IMPACT","reachedgrid","weighted",NA,0.0488562518929883
"10","281","OCCURRENCE","reachedgrid","weighted",NA,0.0415486634618906
"11","281","IMPACT","pooling","weighted",NA,1.103273028491e-15
"12","281","OCCURRENCE","pooling","weighted",NA,3.52951001758584e-16
"13","282","IMPACT","classic","weighted",NA,0.0246136589255566
"14","282","OCCURRENCE","classic","weighted",NA,0.0116396840400166
"15","282","IMPACT","area","weighted",NA,0.484564637223066
"16","282","OCCURRENCE","area","weighted",NA,0.529597673281955
"17","282","IMPACT","center","weighted",NA,0.658938039462292
"18","282","OCCURRENCE","center","weighted",NA,0.697239526586203
"19","282","IMPACT","centertogrid","weighted",NA,0.0486500896983161
"20","282","OCCURRENCE","centertogrid","weighted",NA,0.0542995207095109
"21","282","IMPACT","reachedgrid","weighted",NA,0.0467981428745807
"22","282","OCCURRENCE","reachedgrid","weighted",NA,0.0394736366695147
"23","282","IMPACT","pooling","weighted",NA,2.77733391840229e-16
"24","282","OCCURRENCE","pooling","weighted",NA,3.41104922085833e-16
"25","283","IMPACT","classic","weighted",NA,0.00496619118554309
"26","283","OCCURRENCE","classic","weighted",NA,6.33434974239264e-05
"27","283","IMPACT","area","weighted",NA,0.465534019701891
"28","283","OCCURRENCE","area","weighted",NA,0.546433935114396
"29","283","IMPACT","center","weighted",NA,0.556583579107272
"30","283","OCCURRENCE","center","weighted",NA,0.641576820658613
"31","283","IMPACT","centertogrid","weighted",NA,0.0339233316936948
"32","283","OCCURRENCE","centertogrid","weighted",NA,0.028051245460014
"33","283","IMPACT","reachedgrid","weighted",NA,0.0448523650315357
"34","283","OCCURRENCE","reachedgrid","weighted",NA,0.0247040841554161
