"","category","combined_p_value"
"1","IMP.classic.weighted",2.2894265829528e-05
"2","OCC.classic.weighted",3.7970116694313e-06
"3","IMP.area.weighted",0.590936170271651
"4","OCC.area.weighted",0.65202555897171
"5","IMP.center.weighted",0.738196521655082
"6","OCC.center.weighted",0.829659841257534
"7","IMP.centertogrid.weighted",0.018089943121463
"8","OCC.centertogrid.weighted",0.0118788241505579
"9","IMP.reachedgrid.weighted",0.0155589013140704
"10","OCC.reachedgrid.weighted",0.00775985642912902
"11","IMP.pooling.weighted",1.69106784226871e-29
"12","OCC.pooling.weighted",2.89667870309094e-33
