"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",16199,2.9413153212042,0,0,4,1.69491525423729,2,3.07692307692308
"2","Grid12","2","2",14296,2.59578022297273,1,1.53846153846154,4,1.69491525423729,0,0
"3","Grid13","3","3",15256,2.77009115008897,0,0,6,2.54237288135593,2,3.07692307692308
"4","Grid14","4","4",19752,3.58644732541671,0,0,7,2.96610169491525,2,3.07692307692308
"5","Grid15","5","5",13039,2.3675418527799,0,0,4,1.69491525423729,0,0
"6","Grid21","1","1",9647,1.75164324363584,0,0,5,2.11864406779661,0,0
"7","Grid22","2","2",12156,2.20721211460943,2,3.07692307692308,6,2.54237288135593,1,1.53846153846154
"8","Grid23","3","3",11922,2.16472382612485,0,0,7,2.96610169491525,2,3.07692307692308
"9","Grid24","4","4",12014,2.18142862330682,0,0,8,3.38983050847458,0,0
"10","Grid25","5","5",11746,2.13276682282021,0,0,5,2.11864406779661,0,0
"11","Grid31","1","1",5832,1.05893888223118,0,0,1,0.423728813559322,0,0
"12","Grid32","2","2",9778,1.77542942223191,2,3.07692307692308,3,1.27118644067797,0,0
"13","Grid33","3","3",22115,4.01550640955805,3,4.61538461538462,6,2.54237288135593,4,6.15384615384615
"14","Grid34","4","4",27978,5.08007408214402,2,3.07692307692308,10,4.23728813559322,4,6.15384615384615
"15","Grid35","5","5",21765,3.95195555071359,3,4.61538461538462,7,2.96610169491525,3,4.61538461538462
"16","Grid41","1","1",5832,1.05893888223118,0,0,1,0.423728813559322,0,0
"17","Grid42","2","2",10131,1.83952500272361,1,1.53846153846154,3,1.27118644067797,0,0
"18","Grid43","3","3",19774,3.59044195082979,4,6.15384615384615,13,5.50847457627119,1,1.53846153846154
"19","Grid44","4","4",49183,8.93034825870647,12,18.4615384615385,29,12.2881355932203,9,13.8461538461538
"20","Grid45","5","5",48670,8.83720085702872,9,13.8461538461538,26,11.0169491525424,3,4.61538461538462
"21","Grid51","1","1",8964,1.62762828194792,1,1.53846153846154,2,0.847457627118644,0,0
"22","Grid52","2","2",11952,2.17017104259723,1,1.53846153846154,3,1.27118644067797,0,0
"23","Grid53","3","3",29316,5.32301993681229,1,1.53846153846154,14,5.93220338983051,4,6.15384615384615
"24","Grid54","4","4",64056,11.6308966118314,5,7.69230769230769,29,12.2881355932203,10,15.3846153846154
"25","Grid55","5","5",79367,14.410974325453,18,27.6923076923077,33,13.9830508474576,18,27.6923076923077
