"","Grid","count"
"1","PIXEL10/332",1
"2","PIXEL10/333",1
"3","PIXEL10/334",1
"4","PIXEL10/335",1
"5","PIXEL10/336",1
"6","PIXEL10/337",1
"7","PIXEL10/338",1
"8","PIXEL10/339",1
"9","PIXEL10/340",1
"10","PIXEL10/341",1
"11","PIXEL10/342",1
"12","PIXEL10/343",1
"13","PIXEL10/344",1
"14","PIXEL10/345",1
"15","PIXEL10/346",1
"16","PIXEL10/347",1
"17","PIXEL10/348",1
"18","PIXEL10/349",1
"19","PIXEL10/350",1
"20","PIXEL10/351",1
"21","PIXEL10/352",1
"22","PIXEL10/353",1
"23","PIXEL10/354",1
"24","PIXEL10/355",1
"25","PIXEL10/356",1
"26","PIXEL10/357",1
"27","PIXEL10/358",1
"28","PIXEL10/359",1
"29","PIXEL10/360",1
"30","PIXEL10/361",1
"31","PIXEL10/362",1
"32","PIXEL10/363",1
"33","PIXEL10/364",1
"34","PIXEL10/365",1
"35","PIXEL10/366",1
"36","PIXEL10/367",1
"37","PIXEL100/108",1
"38","PIXEL100/109",1
"39","PIXEL100/110",1
"40","PIXEL100/111",1
"41","PIXEL100/112",1
"42","PIXEL100/113",1
"43","PIXEL100/114",1
"44","PIXEL100/115",1
"45","PIXEL100/116",1
"46","PIXEL100/117",1
"47","PIXEL100/118",1
"48","PIXEL100/119",1
"49","PIXEL100/120",1
"50","PIXEL100/121",1
"51","PIXEL100/122",1
"52","PIXEL100/123",1
"53","PIXEL100/124",1
"54","PIXEL100/125",2
"55","PIXEL100/126",2
"56","PIXEL100/127",2
"57","PIXEL100/128",2
"58","PIXEL100/129",2
"59","PIXEL100/130",2
"60","PIXEL100/131",2
"61","PIXEL100/132",2
"62","PIXEL100/133",2
"63","PIXEL100/134",2
"64","PIXEL100/135",2
"65","PIXEL100/136",2
"66","PIXEL100/137",2
"67","PIXEL100/138",2
"68","PIXEL100/139",2
"69","PIXEL100/140",2
"70","PIXEL100/141",2
"71","PIXEL100/142",3
"72","PIXEL100/143",3
"73","PIXEL100/144",3
"74","PIXEL100/145",3
"75","PIXEL100/146",3
"76","PIXEL100/147",3
"77","PIXEL100/148",3
"78","PIXEL100/149",3
"79","PIXEL100/150",3
"80","PIXEL100/151",3
"81","PIXEL100/152",3
"82","PIXEL100/153",3
"83","PIXEL100/154",3
"84","PIXEL100/155",3
"85","PIXEL100/156",3
"86","PIXEL100/157",3
"87","PIXEL100/158",3
"88","PIXEL100/159",2
"89","PIXEL100/160",2
"90","PIXEL100/161",2
"91","PIXEL100/162",2
"92","PIXEL100/163",2
"93","PIXEL100/164",3
"94","PIXEL100/165",3
"95","PIXEL100/166",3
"96","PIXEL100/167",3
"97","PIXEL100/168",3
"98","PIXEL100/169",3
"99","PIXEL100/170",3
"100","PIXEL100/171",3
"101","PIXEL100/172",3
"102","PIXEL100/173",3
"103","PIXEL100/174",3
"104","PIXEL100/175",3
"105","PIXEL100/176",3
"106","PIXEL100/177",3
"107","PIXEL100/178",3
"108","PIXEL100/179",3
"109","PIXEL100/180",3
"110","PIXEL100/181",3
"111","PIXEL100/182",3
"112","PIXEL100/183",3
"113","PIXEL100/184",3
"114","PIXEL100/185",3
"115","PIXEL100/186",3
"116","PIXEL100/187",3
"117","PIXEL100/188",3
"118","PIXEL100/189",3
"119","PIXEL100/190",3
"120","PIXEL100/191",3
"121","PIXEL100/192",3
"122","PIXEL100/193",3
"123","PIXEL100/194",3
"124","PIXEL100/195",3
"125","PIXEL100/196",3
"126","PIXEL100/197",3
"127","PIXEL100/198",3
"128","PIXEL100/199",3
"129","PIXEL100/200",2
"130","PIXEL100/201",2
"131","PIXEL100/202",2
"132","PIXEL100/203",2
"133","PIXEL100/204",2
"134","PIXEL100/205",2
"135","PIXEL100/206",2
"136","PIXEL100/207",2
"137","PIXEL100/208",2
"138","PIXEL100/209",2
"139","PIXEL100/210",2
"140","PIXEL100/211",2
"141","PIXEL100/212",2
"142","PIXEL100/213",2
"143","PIXEL100/214",2
"144","PIXEL100/215",2
"145","PIXEL100/216",2
"146","PIXEL100/217",2
"147","PIXEL100/218",2
"148","PIXEL100/219",2
"149","PIXEL100/220",2
"150","PIXEL100/221",2
"151","PIXEL100/222",2
"152","PIXEL100/223",2
"153","PIXEL100/224",2
"154","PIXEL100/225",2
"155","PIXEL100/226",2
"156","PIXEL100/227",2
"157","PIXEL100/228",2
"158","PIXEL100/229",2
"159","PIXEL100/230",2
"160","PIXEL100/231",2
"161","PIXEL100/232",2
"162","PIXEL100/233",2
"163","PIXEL100/234",2
"164","PIXEL100/235",2
"165","PIXEL100/236",2
"166","PIXEL100/237",1
"167","PIXEL100/238",1
"168","PIXEL100/239",1
"169","PIXEL100/240",1
"170","PIXEL100/241",1
"171","PIXEL100/242",1
"172","PIXEL100/243",1
"173","PIXEL100/27",1
"174","PIXEL100/271",1
"175","PIXEL100/272",1
"176","PIXEL100/273",1
"177","PIXEL100/274",1
"178","PIXEL100/275",1
"179","PIXEL100/276",1
"180","PIXEL100/277",1
"181","PIXEL100/278",1
"182","PIXEL100/279",1
"183","PIXEL100/28",1
"184","PIXEL100/280",1
"185","PIXEL100/281",1
"186","PIXEL100/282",1
