type,method1,method2,combined_pValue
IMPACT,area,center,0.0016665527214504486
IMPACT,area,centertogrid,0.0
IMPACT,area,pooling,0.0
IMPACT,area,reachedgrid,1.4293446250726967e-120
IMPACT,area,weighted,0.0
IMPACT,center,centertogrid,1.5539789610262256e-57
IMPACT,center,pooling,0.0
IMPACT,center,reachedgrid,0.0
IMPACT,center,weighted,0.9999999999688535
IMPACT,centertogrid,pooling,0.0
IMPACT,centertogrid,reachedgrid,0.9999959348831922
IMPACT,centertogrid,weighted,4.2481784024194525e-55
IMPACT,classic,area,0.0
IMPACT,classic,center,0.0
IMPACT,classic,centertogrid,0.0
IMPACT,classic,pooling,0.0
IMPACT,classic,reachedgrid,0.0
IMPACT,classic,weighted,0.0
IMPACT,reachedgrid,pooling,0.0
IMPACT,reachedgrid,weighted,0.0
IMPACT,weighted,pooling,0.0
OCCURRENCE,area,center,0.9999999999999999
OCCURRENCE,area,centertogrid,0.0
OCCURRENCE,area,pooling,0.0
OCCURRENCE,area,reachedgrid,3.904129290625289e-89
OCCURRENCE,area,weighted,0.0
OCCURRENCE,center,centertogrid,9.72922602481295e-44
OCCURRENCE,center,pooling,0.0
OCCURRENCE,center,reachedgrid,1.7158221289881791e-53
OCCURRENCE,center,weighted,1.0
OCCURRENCE,centertogrid,pooling,0.0
OCCURRENCE,centertogrid,reachedgrid,1.0
OCCURRENCE,centertogrid,weighted,1.2960583532235907e-52
OCCURRENCE,classic,area,0.0
OCCURRENCE,classic,center,5.661252705907954e-63
OCCURRENCE,classic,centertogrid,5.588417031434811e-33
OCCURRENCE,classic,pooling,0.0
OCCURRENCE,classic,reachedgrid,0.0
OCCURRENCE,classic,weighted,0.0
OCCURRENCE,reachedgrid,pooling,0.0
OCCURRENCE,reachedgrid,weighted,0.0
OCCURRENCE,weighted,pooling,0.0
