"","type","method1","method2","distance"
"1","IMPACT","classic","area",544.6086
"2","OCCURRENCE","classic","area",588.7941
"3","IMPACT","area","center",259.5988
"4","OCCURRENCE","area","center",142.0264
"5","IMPACT","classic","center",446.8688
"6","OCCURRENCE","classic","center",603.5205
"7","IMPACT","area","centertogrid",418.382
"8","OCCURRENCE","area","centertogrid",354.2805
"9","IMPACT","center","centertogrid",312.5404
"10","OCCURRENCE","center","centertogrid",303.3893
"11","IMPACT","classic","centertogrid",340.0072
"12","OCCURRENCE","classic","centertogrid",547.4208
"13","IMPACT","area","pooling",1286.5137
"14","OCCURRENCE","area","pooling",1281.596
"15","IMPACT","center","pooling",1108.4252
"16","OCCURRENCE","center","pooling",1245.6706
"17","IMPACT","centertogrid","pooling",1165.3278
"18","OCCURRENCE","centertogrid","pooling",1286.8467
"19","IMPACT","classic","pooling",948.7268
"20","OCCURRENCE","classic","pooling",1104.7938
"21","IMPACT","reachedgrid","pooling",1322.6231
"22","OCCURRENCE","reachedgrid","pooling",1314.7063
"23","IMPACT","weighted","pooling",1208.3305
"24","OCCURRENCE","weighted","pooling",1270.2048
"25","IMPACT","area","reachedgrid",341.5738
"26","OCCURRENCE","area","reachedgrid",341.5328
"27","IMPACT","center","reachedgrid",404.9022
"28","OCCURRENCE","center","reachedgrid",336.1955
"29","IMPACT","centertogrid","reachedgrid",255.4895
"30","OCCURRENCE","centertogrid","reachedgrid",148.231
"31","IMPACT","classic","reachedgrid",452.9563
"32","OCCURRENCE","classic","reachedgrid",509.817
"33","IMPACT","area","weighted",148.2624
"34","OCCURRENCE","area","weighted",74.3124
"35","IMPACT","center","weighted",158.3119
"36","OCCURRENCE","center","weighted",128.6945
"37","IMPACT","centertogrid","weighted",363.6041
"38","OCCURRENCE","centertogrid","weighted",347.0263
"39","IMPACT","classic","weighted",498.3154
"40","OCCURRENCE","classic","weighted",589.5843
"41","IMPACT","reachedgrid","weighted",365.5745
"42","OCCURRENCE","reachedgrid","weighted",344.5803
