"","scenario","type","method1","method2","distance","pValue"
"1","281","IMPACT","classic","area",8.8422,NA
"2","281","OCCURRENCE","classic","area",10.0111,NA
"3","281","IMPACT","classic","center",8.7196,NA
"4","281","OCCURRENCE","classic","center",10.7375,NA
"5","281","IMPACT","classic","centertogrid",8.2857,NA
"6","281","OCCURRENCE","classic","centertogrid",9.4286,NA
"7","281","IMPACT","classic","reachedgrid",7.3421,NA
"8","281","OCCURRENCE","classic","reachedgrid",10.4933,NA
"9","281","IMPACT","classic","weighted",8.9662,NA
"10","281","OCCURRENCE","classic","weighted",10.8971,NA
"11","281","IMPACT","classic","pooling",14.8242,NA
"12","281","OCCURRENCE","classic","pooling",17.7788,NA
"13","281","IMPACT","area","center",1.8733,NA
"14","281","OCCURRENCE","area","center",1.4185,NA
"15","281","IMPACT","area","centertogrid",5.2549,NA
"16","281","OCCURRENCE","area","centertogrid",5.0877,NA
"17","281","IMPACT","area","reachedgrid",5.1033,NA
"18","281","OCCURRENCE","area","reachedgrid",5.1345,NA
"19","281","IMPACT","area","weighted",1.2948,NA
"20","281","OCCURRENCE","area","weighted",1.0935,NA
"21","281","IMPACT","area","pooling",18.7606,NA
"22","281","OCCURRENCE","area","pooling",19.5901,NA
"23","281","IMPACT","center","centertogrid",4.8518,NA
"24","281","OCCURRENCE","center","centertogrid",4.9161,NA
"25","281","IMPACT","center","reachedgrid",5.3456,NA
"26","281","OCCURRENCE","center","reachedgrid",5.197,NA
"27","281","IMPACT","center","weighted",1.646,NA
"28","281","OCCURRENCE","center","weighted",1.2646,NA
"29","281","IMPACT","center","pooling",17.7793,NA
"30","281","OCCURRENCE","center","pooling",19.6868,NA
"31","281","IMPACT","centertogrid","reachedgrid",2.1391,NA
"32","281","OCCURRENCE","centertogrid","reachedgrid",2.4664,NA
"33","281","IMPACT","centertogrid","weighted",5.1121,NA
"34","281","OCCURRENCE","centertogrid","weighted",5.1515,NA
"35","281","IMPACT","centertogrid","pooling",19.1217,NA
"36","281","OCCURRENCE","centertogrid","pooling",19.3277,NA
"37","281","IMPACT","reachedgrid","weighted",5.3363,NA
"38","281","OCCURRENCE","reachedgrid","weighted",5.076,NA
"39","281","IMPACT","reachedgrid","pooling",19.9765,NA
"40","281","OCCURRENCE","reachedgrid","pooling",19.2194,NA
"41","281","IMPACT","weighted","pooling",17.9884,NA
"42","281","OCCURRENCE","weighted","pooling",19.915,NA
"43","282","IMPACT","classic","area",6.0023,NA
"44","282","OCCURRENCE","classic","area",6.7739,NA
"45","282","IMPACT","classic","center",5.1007,NA
"46","282","OCCURRENCE","classic","center",6.1042,NA
"47","282","IMPACT","classic","centertogrid",2.5,NA
"48","282","OCCURRENCE","classic","centertogrid",5,NA
"49","282","IMPACT","classic","reachedgrid",3.9135,NA
"50","282","OCCURRENCE","classic","reachedgrid",5.8454,NA
"51","282","IMPACT","classic","weighted",5.716,NA
"52","282","OCCURRENCE","classic","weighted",6.3604,NA
"53","282","IMPACT","classic","pooling",15.7828,NA
"54","282","OCCURRENCE","classic","pooling",18.0539,NA
"55","282","IMPACT","area","center",3.7938,NA
"56","282","OCCURRENCE","area","center",2.1052,NA
"57","282","IMPACT","area","centertogrid",5.8455,NA
"58","282","OCCURRENCE","area","centertogrid",4.8069,NA
"59","282","IMPACT","area","reachedgrid",4.9226,NA
"60","282","OCCURRENCE","area","reachedgrid",4.698,NA
"61","282","IMPACT","area","weighted",3.2047,NA
"62","282","OCCURRENCE","area","weighted",1.1353,NA
"63","282","IMPACT","area","pooling",19.2549,NA
"64","282","OCCURRENCE","area","pooling",18.8052,NA
"65","282","IMPACT","center","centertogrid",4.5104,NA
"66","282","OCCURRENCE","center","centertogrid",3.7812,NA
"67","282","IMPACT","center","reachedgrid",5.617,NA
"68","282","OCCURRENCE","center","reachedgrid",4.1742,NA
"69","282","IMPACT","center","weighted",1.2389,NA
"70","282","OCCURRENCE","center","weighted",1.5629,NA
"71","282","IMPACT","center","pooling",16.5374,NA
"72","282","OCCURRENCE","center","pooling",19.0608,NA
"73","282","IMPACT","centertogrid","reachedgrid",3.3122,NA
"74","282","OCCURRENCE","centertogrid","reachedgrid",1.6908,NA
"75","282","IMPACT","centertogrid","weighted",5.0279,NA
"76","282","OCCURRENCE","centertogrid","weighted",4.618,NA
"77","282","IMPACT","centertogrid","pooling",16.8458,NA
"78","282","OCCURRENCE","centertogrid","pooling",18.8059,NA
"79","282","IMPACT","reachedgrid","weighted",5.4246,NA
"80","282","OCCURRENCE","reachedgrid","weighted",4.7214,NA
"81","282","IMPACT","reachedgrid","pooling",19.6468,NA
"82","282","OCCURRENCE","reachedgrid","pooling",19.8363,NA
"83","282","IMPACT","weighted","pooling",17.4696,NA
"84","282","OCCURRENCE","weighted","pooling",19.0207,NA
"85","283","IMPACT","classic","area",7.3327,NA
"86","283","OCCURRENCE","classic","area",11.5711,NA
"87","283","IMPACT","classic","center",6.6389,NA
"88","283","OCCURRENCE","classic","center",10.5087,NA
"89","283","IMPACT","classic","centertogrid",4.1197,NA
"90","283","OCCURRENCE","classic","centertogrid",10,NA
"91","283","IMPACT","classic","reachedgrid",6.9969,NA
"92","283","OCCURRENCE","classic","reachedgrid",10.1836,NA
"93","283","IMPACT","classic","weighted",6.2175,NA
"94","283","OCCURRENCE","classic","weighted",11.7041,NA
"95","283","IMPACT","classic","pooling",12.8552,NA
"96","283","OCCURRENCE","classic","pooling",14.8855,NA
"97","283","IMPACT","area","center",3.5248,NA
"98","283","OCCURRENCE","area","center",2.3731,NA
"99","283","IMPACT","area","centertogrid",5.7222,NA
"100","283","OCCURRENCE","area","centertogrid",5.0503,NA
"101","283","IMPACT","area","reachedgrid",4.9537,NA
"102","283","OCCURRENCE","area","reachedgrid",4.8856,NA
"103","283","IMPACT","area","weighted",2.634,NA
"104","283","OCCURRENCE","area","weighted",0.5441,NA
"105","283","IMPACT","area","pooling",18.7278,NA
"106","283","OCCURRENCE","area","pooling",21.1005,NA
"107","283","IMPACT","center","centertogrid",5.2956,NA
"108","283","OCCURRENCE","center","centertogrid",3.842,NA
"109","283","IMPACT","center","reachedgrid",6.4047,NA
"110","283","OCCURRENCE","center","reachedgrid",4.1628,NA
"111","283","IMPACT","center","weighted",2.8008,NA
"112","283","OCCURRENCE","center","weighted",2.437,NA
"113","283","IMPACT","center","pooling",16.3434,NA
"114","283","OCCURRENCE","center","pooling",20.8568,NA
"115","283","IMPACT","centertogrid","reachedgrid",3.2244,NA
"116","283","OCCURRENCE","centertogrid","reachedgrid",2.0725,NA
"117","283","IMPACT","centertogrid","weighted",5.3852,NA
"118","283","OCCURRENCE","centertogrid","weighted",5.0431,NA
"119","283","IMPACT","centertogrid","pooling",16.4657,NA
"120","283","OCCURRENCE","centertogrid","pooling",21.1069,NA
"121","283","IMPACT","reachedgrid","weighted",5.5168,NA
"122","283","OCCURRENCE","reachedgrid","weighted",4.9714,NA
"123","283","IMPACT","reachedgrid","pooling",19.3863,NA
"124","283","OCCURRENCE","reachedgrid","pooling",21.8062,NA
"125","283","IMPACT","weighted","pooling",17.3956,NA
"126","283","OCCURRENCE","weighted","pooling",21.269,NA
"127","284","IMPACT","classic","area",7.1215,NA
"128","284","OCCURRENCE","classic","area",8.9251,NA
"129","284","IMPACT","classic","center",5.2143,NA
"130","284","OCCURRENCE","classic","center",9.5536,NA
"131","284","IMPACT","classic","centertogrid",4,NA
"132","284","OCCURRENCE","classic","centertogrid",8.5714,NA
"133","284","IMPACT","classic","reachedgrid",6.0381,NA
"134","284","OCCURRENCE","classic","reachedgrid",8.3971,NA
"135","284","IMPACT","classic","weighted",6.6252,NA
"136","284","OCCURRENCE","classic","weighted",9.3931,NA
"137","284","IMPACT","classic","pooling",13.3567,NA
