"","type","method1","method2","distance"
"1","IMPACT","classic","area",10.1884382352941
"2","OCCURRENCE","classic","area",8.20039558823529
"3","IMPACT","area","center",1.4509
"4","OCCURRENCE","area","center",0.2874
"5","IMPACT","classic","center",13.0146823529412
"6","OCCURRENCE","classic","center",6.02683970588235
"7","IMPACT","area","centertogrid",6.60576764705882
"8","OCCURRENCE","area","centertogrid",12.23415
"9","IMPACT","center","centertogrid",7.56388088235294
"10","OCCURRENCE","center","centertogrid",8.58865882352941
"11","IMPACT","classic","centertogrid",2.23135735294118
"12","OCCURRENCE","classic","centertogrid",2.71521470588235
"13","IMPACT","area","pooling",Inf
"14","OCCURRENCE","area","pooling",Inf
"15","IMPACT","center","pooling",Inf
"16","OCCURRENCE","center","pooling",Inf
"17","IMPACT","centertogrid","pooling",Inf
"18","OCCURRENCE","centertogrid","pooling",Inf
"19","IMPACT","classic","pooling",Inf
"20","OCCURRENCE","classic","pooling",Inf
"21","IMPACT","reachedgrid","pooling",Inf
"22","OCCURRENCE","reachedgrid","pooling",Inf
"23","IMPACT","weighted","pooling",Inf
"24","OCCURRENCE","weighted","pooling",Inf
"25","IMPACT","area","reachedgrid",12.0274823529412
"26","OCCURRENCE","area","reachedgrid",16.9639823529412
"27","IMPACT","center","reachedgrid",11.8690735294118
"28","OCCURRENCE","center","reachedgrid",10.6016808823529
"29","IMPACT","centertogrid","reachedgrid",0.672469117647059
"30","OCCURRENCE","centertogrid","reachedgrid",0.348986764705882
"31","IMPACT","classic","reachedgrid",2.84025
"32","OCCURRENCE","classic","reachedgrid",2.86690147058824
"33","IMPACT","area","weighted",3.04329558823529
"34","OCCURRENCE","area","weighted",7.19716323529412
"35","IMPACT","center","weighted",2.87788676470588
"36","OCCURRENCE","center","weighted",4.29907058823529
"37","IMPACT","centertogrid","weighted",3.84771911764706
"38","OCCURRENCE","centertogrid","weighted",3.20817352941176
"39","IMPACT","classic","weighted",7.68818235294118
"40","OCCURRENCE","classic","weighted",3.76253235294118
"41","IMPACT","reachedgrid","weighted",6.68244558823529
"42","OCCURRENCE","reachedgrid","weighted",3.68592794117647
