"","scenario","type","method1","method2","distance","pValue"
"1","281","IMPACT","classic","area",24.272,0
"2","281","OCCURRENCE","classic","area",4.194,0.0071
"3","281","IMPACT","classic","center",28.095,0
"4","281","OCCURRENCE","classic","center",2.862,0.0314
"5","281","IMPACT","classic","centertogrid",4.4432,0.0051
"6","281","OCCURRENCE","classic","centertogrid",2.8415,0.0321
"7","281","IMPACT","classic","reachedgrid",4.4786,0.005
"8","281","OCCURRENCE","classic","reachedgrid",4.7448,0.0037
"9","281","IMPACT","classic","weighted",15.448,0
"10","281","OCCURRENCE","classic","weighted",2.7542,0.0355
"11","281","IMPACT","classic","pooling",Inf,0
"12","281","OCCURRENCE","classic","pooling",Inf,0
"13","281","IMPACT","area","center",1.4509,0.1887
"14","281","OCCURRENCE","area","center",0.2874,0.9467
"15","281","IMPACT","area","centertogrid",7.7278,2e-04
"16","281","OCCURRENCE","area","centertogrid",4.6094,0.0045
"17","281","IMPACT","area","reachedgrid",22.512,0
"18","281","OCCURRENCE","area","reachedgrid",9.4616,0
"19","281","IMPACT","area","weighted",1.1527,0.2861
"20","281","OCCURRENCE","area","weighted",2.0666,0.0847
"21","281","IMPACT","area","pooling",Inf,0
"22","281","OCCURRENCE","area","pooling",Inf,0
"23","281","IMPACT","center","centertogrid",10.851,0
"24","281","OCCURRENCE","center","centertogrid",4.3239,0.0058
"25","281","IMPACT","center","reachedgrid",19.548,0
"26","281","OCCURRENCE","center","reachedgrid",7.8987,1e-04
"27","281","IMPACT","center","weighted",1.7432,0.1259
"28","281","OCCURRENCE","center","weighted",1.3924,0.2027
"29","281","IMPACT","center","pooling",Inf,0
"30","281","OCCURRENCE","center","pooling",Inf,0
"31","281","IMPACT","centertogrid","reachedgrid",0.2162,0.9879
"32","281","OCCURRENCE","centertogrid","reachedgrid",0.242,0.9782
"33","281","IMPACT","centertogrid","weighted",4.3364,0.0057
"34","281","OCCURRENCE","centertogrid","weighted",2.4879,0.0491
"35","281","IMPACT","centertogrid","pooling",Inf,0
"36","281","OCCURRENCE","centertogrid","pooling",Inf,0
"37","281","IMPACT","reachedgrid","weighted",8.1826,1e-04
"38","281","OCCURRENCE","reachedgrid","weighted",4.0871,0.0077
"39","281","IMPACT","reachedgrid","pooling",Inf,0
"40","281","OCCURRENCE","reachedgrid","pooling",Inf,0
"41","281","IMPACT","weighted","pooling",Inf,0
"42","281","OCCURRENCE","weighted","pooling",Inf,0
"43","282","IMPACT","classic","area",5.0747,0.0026
"44","282","OCCURRENCE","classic","area",2.7845,0.0355
"45","282","IMPACT","classic","center",9.4807,0
"46","282","OCCURRENCE","classic","center",2.4757,0.05
"47","282","IMPACT","classic","centertogrid",0.5363,0.7152
